filename,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
Bloomington_11072023_SpecialCityCouncilAtLarge.csv,65063.0,29189.0,50831.0,4.4,79.0,1042.0,7738.0,61340.0,110574.0,87381.0,48589.0,260.0,1620.0,6264.0,12109.0,243.0,89244.0,12403.0,5645.0,89244.0,89244.0,37653.0
Boulder_11072023_Mayor.csv,60126.0,46028.0,61397.0,5.4,27.0,547.0,11452.0,83303.0,132935.0,80243.0,58063.0,483.0,1582.0,8079.0,2022.0,225.0,106598.0,10969.0,6233.0,106598.0,106598.0,43658.0
Burlington_03052024_Mayor.csv,24354.0,14684.0,26151.0,4.7,59.0,403.0,1457.0,38367.0,93790.0,64931.0,24920.0,251.0,191.0,2294.0,2314.0,26.0,44646.0,3434.0,1452.0,44646.0,44646.0,17448.0
Minneapolis_11052013_ParkRecBoardAtLarge.csv,263897.0,125087.178,240754.0,7.6,65.0,6375.0,39857.0,241066.0,75185.0,51480.0,222453.0,1036.0,11647.0,28780.0,83922.0,948.0,399950.0,61918.0,36346.0,399950.0,399950.0,168385.0
Minneapolis_11062009_MinneapolisParkRecBoard.csv,250683.0,112055.301,228833.0,9.5,81.0,6324.0,36719.0,238110.0,68190.0,47478.0,207205.0,632.0,11925.0,23870.0,75883.0,405.0,381833.0,56744.0,36443.0,381833.0,381833.0,168273.0
Minneapolis_11072017_ParkBoardAtLarge.csv,280424.0,141463.0,256184.0,5.1,65.0,5943.0,40432.0,252180.0,89282.0,62583.0,243171.0,952.0,11876.0,30759.0,91094.0,740.0,420324.0,65579.0,34946.0,420324.0,420324.0,176974.0
SanFrancisco_11052019_PublicDefender.csv,688969.0,410052.0,540475.0,5.3,286.0,8238.0,133241.0,339050.0,178742.0,126187.0,511902.0,872.0,12302.0,333357.0,58264.0,6942.0,865933.0,295398.0,110408.0,865933.0,865933.0,361222.0
SanFrancisco_11062018_PublicDefender.csv,696575.0,409341.0,547090.0,4.7,273.0,8262.0,132865.0,348449.0,167663.0,119136.0,521465.0,806.0,10692.0,335512.0,57920.0,6880.0,874784.0,299510.0,110101.0,874784.0,874784.0,362141.0
Cambridge_11072023_SchoolBoard.csv,79997.0,63931.0,73356.0,3.3,152.0,1068.0,10302.0,66070.0,169569.0,121539.0,70910.0,166.0,1021.0,26098.0,15066.0,285.0,117962.0,34750.0,21007.0,117962.0,117962.0,49475.0
Cambridge_11082005_SchoolCommittee.csv,75217.0,,63580.0,,369.0,1330.0,7829.0,70633.0,95925.0,64420.0,60440.0,92.0,941.0,14377.0,13413.0,241.0,106255.0,27316.0,17246.0,106255.0,106255.0,47100.0
Cambridge_11032015_SchoolCommittee.csv,74490.0,56984.85,68731.0,5.2,64.0,1210.0,9707.0,68330.0,125041.0,89145.0,65165.0,120.0,931.0,19703.0,13823.0,285.0,110893.0,31305.0,19809.0,110893.0,110893.0,44234.0
Cambridge_11042003_SchoolCommittee.csv,75217.0,,63580.0,,369.0,1330.0,7829.0,70633.0,95925.0,64420.0,60440.0,92.0,941.0,14377.0,13413.0,241.0,106255.0,27316.0,17246.0,106255.0,106255.0,47100.0
Cambridge_11152019_SchoolCommittee.csv,78944.0,63138.0,72011.0,3.7,120.0,1171.0,10265.0,67193.0,154448.0,112565.0,69314.0,103.0,921.0,24619.0,14577.0,295.0,116892.0,34073.0,20565.0,116892.0,116892.0,47777.0
Cambridge_11082011_SchoolCommittee.csv,72386.0,53203.71,63778.0,6.1,274.0,1414.0,8198.0,66764.0,108729.0,72529.0,59904.0,79.0,1191.0,16845.0,14120.0,144.0,105737.0,29243.0,17540.0,105737.0,105737.0,44345.0
Cambridge_11062007_SchoolCommittee.csv,75217.0,,63580.0,,369.0,1330.0,7829.0,70633.0,95925.0,64420.0,60440.0,92.0,941.0,14377.0,13413.0,241.0,106255.0,27316.0,17246.0,106255.0,106255.0,47100.0
Cambridge_11052013_SchoolCommittee.csv,72618.0,54536.117999999995,66288.0,5.0,68.0,1291.0,8670.0,67973.0,115608.0,79416.0,62998.0,71.0,1070.0,18428.0,13090.0,232.0,107916.0,29231.0,17696.0,107916.0,107916.0,43801.0
Cambridge_11072017_SchoolCommittee.csv,79240.0,62628.0,73312.0,4.0,111.0,1247.0,11066.0,69795.0,139991.0,103154.0,70348.0,87.0,903.0,22252.0,14219.0,236.0,116632.0,33701.0,21325.0,116632.0,116632.0,46835.0
SanFrancisco_11052019_Sheriff.csv,688969.0,410052.0,540475.0,5.3,286.0,8238.0,133241.0,339050.0,178742.0,126187.0,511902.0,872.0,12302.0,333357.0,58264.0,6942.0,865933.0,295398.0,110408.0,865933.0,865933.0,361222.0
SanFrancisco_11052019_Treasurer.csv,688969.0,410052.0,540475.0,5.3,286.0,8238.0,133241.0,339050.0,178742.0,126187.0,511902.0,872.0,12302.0,333357.0,58264.0,6942.0,865933.0,295398.0,110408.0,865933.0,865933.0,361222.0
