geocode,year,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
23_019_005000,2018,1398.0,613.0,1001.0,3.1,7.0,12.0,123.0,1691.0,78695.0,60982.0,970.0,7.0,26.0,2.0,77.0,0.0,1900.0,25.0,20.0,1900.0,1900.0,805.0
23_019_940000,2018,474.0,112.0,300.0,15.3,0.0,15.0,26.0,94.0,38342.0,31029.0,254.0,4.0,518.0,9.0,6.0,3.0,627.0,3.0,0.0,627.0,627.0,302.0
23_019_031300,2018,4264.0,1130.0,3569.0,1.0,0.0,32.0,8.0,5865.0,79111.0,68300.0,3535.0,60.0,114.0,0.0,5.0,0.0,5987.0,124.0,50.0,5987.0,5987.0,2440.0
23_019_031100,2018,4366.0,1677.0,3143.0,5.5,0.0,23.0,214.0,5646.0,82197.0,60542.0,2969.0,14.0,28.0,279.0,290.0,0.0,6533.0,467.0,176.0,6533.0,6533.0,2699.0
23_019_031200,2018,3121.0,535.0,1947.0,4.5,0.0,38.0,23.0,3970.0,67292.0,48281.0,1859.0,73.0,85.0,10.0,38.0,0.0,4156.0,71.0,14.0,4156.0,4156.0,1557.0
23_009_965700,2018,2348.0,588.0,1497.0,6.9,0.0,21.0,20.0,2938.0,65013.0,55982.0,1394.0,86.0,71.0,28.0,0.0,0.0,3074.0,58.0,19.0,3074.0,3074.0,1200.0
23_009_965400,2018,2184.0,705.0,1427.0,3.9,0.0,12.0,29.0,2622.0,73808.0,57004.0,1371.0,62.0,18.0,0.0,23.0,0.0,2692.0,14.0,5.0,2692.0,2692.0,1205.0
23_009_966200,2018,1677.0,547.0,1344.0,4.4,0.0,32.0,13.0,1916.0,73226.0,57109.0,1285.0,321.0,4.0,170.0,6.0,11.0,2111.0,200.0,39.0,2111.0,2111.0,1024.0
23_009_965800,2018,1628.0,440.0,831.0,0.4,5.0,38.0,16.0,1986.0,85768.0,58594.0,828.0,168.0,11.0,0.0,1.0,0.0,2013.0,71.0,22.0,2013.0,2013.0,917.0
23_009_966000,2018,1301.0,703.0,962.0,3.8,0.0,0.0,2.0,1606.0,118943.0,79348.0,925.0,4.0,0.0,3.0,10.0,0.0,1640.0,48.0,8.0,1640.0,1640.0,770.0
23_009_965504,2018,3131.0,992.0,2627.0,4.0,0.0,43.0,50.0,4175.0,79128.0,63461.0,2521.0,20.0,29.0,63.0,10.0,0.0,4343.0,86.0,6.0,4343.0,4343.0,1793.0
23_009_965503,2018,3076.0,1180.0,2206.0,1.2,0.0,0.0,66.0,3492.0,69036.0,52900.0,2180.0,45.0,137.0,41.0,52.0,19.0,3805.0,99.0,99.0,3805.0,3805.0,1728.0
23_009_990000,2018,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23_009_966700,2018,4790.0,1524.0,3513.0,3.9,10.0,109.0,123.0,5489.0,86645.0,62217.0,3377.0,150.0,67.0,106.0,151.0,6.0,5962.0,192.0,51.0,5962.0,5962.0,2722.0
23_027_046001,2018,1556.0,448.0,1150.0,4.0,0.0,17.0,12.0,2070.0,88810.0,66750.0,1104.0,61.0,22.0,13.0,5.0,0.0,2117.0,44.0,12.0,2117.0,2117.0,899.0
23_027_046002,2018,3267.0,677.0,2386.0,4.0,5.0,99.0,100.0,5125.0,57373.0,43611.0,2291.0,276.0,80.0,77.0,112.0,0.0,5482.0,148.0,83.0,5482.0,5482.0,1916.0
23_027_041000,2018,2894.0,851.0,2336.0,5.4,0.0,91.0,2.0,3884.0,80774.0,75000.0,2209.0,43.0,6.0,56.0,37.0,0.0,3985.0,47.0,35.0,3985.0,3985.0,1614.0
23_027_044000,2018,3408.0,1452.0,2265.0,4.9,0.0,5.0,63.0,4161.0,86760.0,65230.0,2154.0,58.0,37.0,57.0,1.0,0.0,4339.0,162.0,44.0,4339.0,4339.0,1948.0
23_027_047000,2018,3599.0,920.0,2577.0,4.7,0.0,41.0,112.0,4544.0,65511.0,49593.0,2456.0,127.0,60.0,60.0,42.0,0.0,4824.0,53.0,17.0,4824.0,4824.0,2114.0
23_027_045000,2018,4387.0,1255.0,3224.0,4.4,2.0,39.0,35.0,5819.0,65517.0,57727.0,3083.0,129.0,65.0,23.0,34.0,0.0,5974.0,53.0,8.0,5974.0,5974.0,2562.0
23_027_043000,2018,5455.0,2398.0,2821.0,5.9,13.0,49.0,40.0,6209.0,74996.0,62720.0,2655.0,18.0,94.0,0.0,115.0,87.0,6710.0,263.0,218.0,6710.0,6710.0,3229.0
23_027_042000,2018,4919.0,1304.0,3255.0,4.6,3.0,70.0,254.0,5838.0,66114.0,57967.0,3105.0,25.0,116.0,51.0,91.0,0.0,6292.0,81.0,49.0,6292.0,6292.0,3145.0
23_031_022500,2018,2359.0,446.0,1580.0,1.9,0.0,49.0,3.0,2923.0,67924.0,58100.0,1550.0,75.0,0.0,2.0,20.0,0.0,3138.0,43.0,21.0,3138.0,3138.0,1328.0
23_007_970601,2018,1322.0,362.0,929.0,9.4,0.0,5.0,9.0,1601.0,75065.0,60000.0,842.0,59.0,2.0,0.0,0.0,7.0,1619.0,8.0,5.0,1619.0,1619.0,790.0
23_007_970101,2018,1668.0,723.0,1191.0,1.5,0.0,23.0,118.0,1945.0,94428.0,62656.0,1173.0,29.0,8.0,17.0,1.0,0.0,2089.0,108.0,70.0,2089.0,2089.0,1049.0
23_007_970602,2018,1817.0,345.0,914.0,3.6,0.0,18.0,15.0,2154.0,54781.0,46518.0,881.0,82.0,20.0,0.0,0.0,0.0,2189.0,11.0,8.0,2189.0,2189.0,981.0
23_007_970102,2018,595.0,176.0,449.0,7.8,0.0,7.0,0.0,762.0,57629.0,37159.0,414.0,13.0,6.0,9.0,0.0,0.0,792.0,0.0,0.0,792.0,792.0,373.0
23_007_971200,2018,4688.0,1774.0,4214.0,5.2,0.0,72.0,82.0,7102.0,63738.0,47023.0,3993.0,86.0,54.0,49.0,180.0,89.0,7597.0,,,7597.0,7597.0,2715.0
23_007_971400,2018,3377.0,545.0,2501.0,4.5,0.0,33.0,21.0,4305.0,72511.0,65316.0,2388.0,142.0,127.0,135.0,37.0,0.0,4612.0,109.0,81.0,4612.0,4612.0,1856.0
23_007_971300,2018,2926.0,607.0,1796.0,7.0,0.0,134.0,0.0,3900.0,65290.0,50114.0,1671.0,42.0,17.0,9.0,8.0,0.0,3953.0,8.0,0.0,3953.0,3953.0,1514.0
23_007_971000,2018,3069.0,708.0,1828.0,7.5,0.0,39.0,179.0,3962.0,65159.0,45594.0,1690.0,64.0,135.0,8.0,16.0,0.0,4222.0,59.0,26.0,4222.0,4222.0,1642.0
23_007_971100,2018,2076.0,478.0,1336.0,2.8,0.0,69.0,30.0,2717.0,67372.0,56719.0,1299.0,50.0,98.0,19.0,8.0,0.0,2876.0,29.0,14.0,2876.0,2876.0,1102.0
23_025_965301,2018,789.0,138.0,508.0,3.7,2.0,10.0,44.0,899.0,55384.0,49075.0,489.0,23.0,15.0,4.0,20.0,0.0,975.0,63.0,0.0,975.0,975.0,491.0
23_025_965302,2018,1005.0,210.0,533.0,12.2,0.0,2.0,10.0,1178.0,51251.0,36815.0,468.0,34.0,7.0,0.0,35.0,0.0,1230.0,20.0,0.0,1230.0,1230.0,581.0
23_025_966700,2018,2994.0,584.0,1947.0,9.6,0.0,71.0,42.0,3794.0,54578.0,43125.0,1760.0,18.0,127.0,94.0,48.0,15.0,4098.0,,,4098.0,4098.0,1811.0
23_025_966600,2018,3034.0,454.0,1821.0,1.9,0.0,59.0,82.0,3879.0,51474.0,46105.0,1787.0,80.0,21.0,136.0,44.0,0.0,4162.0,,,4162.0,4162.0,1863.0
23_025_966000,2018,2783.0,596.0,1677.0,2.0,22.0,41.0,107.0,3716.0,50363.0,48750.0,1644.0,9.0,79.0,0.0,118.0,0.0,4020.0,106.0,65.0,4020.0,4020.0,1594.0
23_025_966900,2018,2425.0,458.0,1631.0,2.9,0.0,0.0,0.0,3138.0,77645.0,45298.0,1583.0,17.0,0.0,10.0,63.0,20.0,3231.0,34.0,24.0,3231.0,3231.0,1264.0
23_025_967000,2018,1768.0,450.0,982.0,6.2,3.0,20.0,10.0,2037.0,72359.0,59475.0,921.0,61.0,78.0,82.0,70.0,0.0,2279.0,96.0,12.0,2279.0,2279.0,1009.0
23_025_966500,2018,3919.0,608.0,2108.0,7.8,0.0,113.0,95.0,4518.0,56818.0,44466.0,1944.0,151.0,50.0,21.0,6.0,0.0,4675.0,24.0,24.0,4675.0,4675.0,2050.0
23_025_965900,2018,1269.0,389.0,824.0,5.8,0.0,23.0,2.0,1620.0,50167.0,26944.0,776.0,16.0,26.0,0.0,2.0,0.0,1652.0,14.0,3.0,1652.0,1652.0,810.0
23_025_966800,2018,4720.0,526.0,3253.0,6.0,0.0,0.0,58.0,6410.0,49622.0,41082.0,3057.0,161.0,34.0,8.0,55.0,0.0,6557.0,,,6557.0,6557.0,2793.0
23_025_965800,2018,2021.0,311.0,1324.0,4.9,0.0,6.0,26.0,2922.0,59877.0,49063.0,1259.0,53.0,53.0,45.0,21.0,45.0,3064.0,33.0,11.0,3064.0,3064.0,1157.0
23_025_966300,2018,1434.0,260.0,816.0,4.4,0.0,11.0,1.0,1591.0,58157.0,36406.0,780.0,32.0,75.0,38.0,0.0,0.0,1718.0,61.0,29.0,1718.0,1718.0,861.0
23_025_966100,2018,2731.0,540.0,1872.0,2.8,4.0,51.0,23.0,3860.0,63948.0,52411.0,1820.0,145.0,70.0,0.0,58.0,0.0,4009.0,76.0,57.0,4009.0,4009.0,1598.0
23_025_965700,2018,2101.0,367.0,1187.0,6.7,0.0,19.0,2.0,2865.0,65993.0,43938.0,1107.0,46.0,35.0,59.0,6.0,17.0,2983.0,37.0,18.0,2983.0,2983.0,1171.0
23_025_966200,2018,1330.0,246.0,723.0,4.1,0.0,39.0,13.0,1579.0,53622.0,40069.0,693.0,94.0,38.0,39.0,0.0,0.0,1665.0,47.0,8.0,1665.0,1665.0,731.0
23_025_965600,2018,1284.0,176.0,712.0,5.5,0.0,1.0,24.0,1648.0,42861.0,33458.0,673.0,45.0,1.0,26.0,1.0,0.0,1708.0,27.0,9.0,1708.0,1708.0,749.0
23_025_966400,2018,1737.0,300.0,1185.0,9.2,0.0,71.0,0.0,2507.0,51969.0,40950.0,1076.0,31.0,20.0,0.0,0.0,0.0,2551.0,30.0,22.0,2551.0,2551.0,1011.0
23_017_966100,2018,1671.0,264.0,918.0,6.9,0.0,50.0,16.0,2147.0,57844.0,51382.0,855.0,44.0,14.0,0.0,33.0,0.0,2206.0,34.0,21.0,2206.0,2206.0,743.0
23_017_966900,2018,2316.0,325.0,1457.0,2.7,5.0,21.0,63.0,2795.0,55418.0,45223.0,1417.0,102.0,109.0,74.0,156.0,9.0,3215.0,34.0,22.0,3215.0,3215.0,1137.0
23_017_966200,2018,3723.0,858.0,2225.0,4.9,0.0,149.0,125.0,4917.0,61672.0,57799.0,2117.0,8.0,130.0,38.0,18.0,0.0,5133.0,106.0,45.0,5133.0,5133.0,1902.0
23_017_966300,2018,2580.0,453.0,2052.0,3.7,0.0,53.0,76.0,3659.0,77342.0,72045.0,1977.0,110.0,53.0,17.0,91.0,0.0,3908.0,28.0,14.0,3908.0,3908.0,1310.0
23_017_966500,2018,3607.0,964.0,2394.0,6.8,0.0,20.0,203.0,4608.0,67238.0,48822.0,2231.0,67.0,19.0,14.0,41.0,0.0,4962.0,127.0,69.0,4962.0,4962.0,1961.0
23_017_965600,2018,2895.0,538.0,1601.0,4.2,0.0,18.0,0.0,3278.0,56752.0,45755.0,1534.0,15.0,30.0,53.0,0.0,0.0,3361.0,52.0,0.0,3361.0,3361.0,1559.0
23_017_966400,2018,4364.0,834.0,2832.0,5.4,0.0,33.0,27.0,6226.0,62249.0,50871.0,2679.0,51.0,82.0,13.0,2.0,0.0,6350.0,,,6350.0,6350.0,2217.0
23_017_965800,2018,2825.0,518.0,2006.0,5.8,4.0,27.0,24.0,3504.0,71801.0,56932.0,1890.0,52.0,50.0,55.0,22.0,0.0,3655.0,47.0,40.0,3655.0,3655.0,1401.0
23_017_965900,2018,2443.0,751.0,1612.0,2.4,0.0,1.0,39.0,2865.0,71260.0,40625.0,1573.0,70.0,64.0,13.0,56.0,37.0,3101.0,31.0,0.0,3101.0,3101.0,1466.0
23_017_966600,2018,2562.0,707.0,1605.0,3.7,0.0,17.0,63.0,2941.0,75153.0,56938.0,1545.0,151.0,93.0,26.0,11.0,0.0,3147.0,72.0,40.0,3147.0,3147.0,1259.0
23_017_965500,2018,1816.0,243.0,979.0,17.8,0.0,28.0,10.0,2271.0,58977.0,40913.0,805.0,5.0,20.0,66.0,15.0,0.0,2372.0,41.0,41.0,2372.0,2372.0,784.0
23_017_966800,2018,1809.0,452.0,1403.0,6.0,0.0,43.0,2.0,2647.0,68657.0,50897.0,1319.0,23.0,1.0,12.0,1.0,3.0,2708.0,49.0,16.0,2708.0,2708.0,1047.0
23_017_966000,2018,2298.0,532.0,1612.0,5.3,0.0,50.0,58.0,2930.0,62696.0,51012.0,1526.0,32.0,12.0,25.0,21.0,7.0,3048.0,,,3048.0,3048.0,1171.0
23_017_965700,2018,2203.0,442.0,1386.0,9.0,0.0,8.0,17.0,2733.0,57288.0,40071.0,1261.0,68.0,66.0,179.0,32.0,0.0,2968.0,82.0,18.0,2968.0,2968.0,1146.0
23_017_965100,2018,996.0,174.0,504.0,5.2,0.0,8.0,0.0,1161.0,55465.0,40536.0,478.0,47.0,12.0,0.0,2.0,0.0,1177.0,19.0,9.0,1177.0,1177.0,556.0
23_017_966700,2018,2320.0,433.0,1638.0,4.2,0.0,22.0,9.0,3210.0,64518.0,52875.0,1569.0,28.0,145.0,23.0,12.0,0.0,3422.0,71.0,20.0,3422.0,3422.0,1161.0
23_017_965400,2018,2700.0,400.0,1272.0,4.9,0.0,30.0,90.0,2947.0,51633.0,38944.0,1210.0,2.0,5.0,70.0,0.0,0.0,3159.0,46.0,0.0,3159.0,3159.0,1369.0
23_011_018000,2018,3462.0,911.0,2301.0,4.8,0.0,31.0,82.0,4104.0,79609.0,65949.0,2190.0,6.0,65.0,43.0,51.0,11.0,4371.0,66.0,11.0,4371.0,4371.0,1978.0
23_011_017000,2018,3026.0,1043.0,2444.0,4.1,17.0,77.0,56.0,4344.0,82136.0,65321.0,2343.0,122.0,5.0,9.0,0.0,7.0,4418.0,93.0,57.0,4418.0,4418.0,1766.0
23_011_025000,2018,4810.0,1387.0,3555.0,3.7,0.0,72.0,1.0,6014.0,79822.0,62447.0,3422.0,89.0,226.0,33.0,116.0,0.0,6274.0,,,6274.0,6274.0,2692.0
23_011_015500,2018,2277.0,822.0,1414.0,3.3,0.0,44.0,65.0,2958.0,72969.0,56193.0,1367.0,41.0,20.0,7.0,28.0,0.0,3073.0,37.0,17.0,3073.0,3073.0,1303.0
23_011_013000,2018,3040.0,912.0,2527.0,4.5,0.0,38.0,43.0,3940.0,69328.0,65385.0,2414.0,82.0,102.0,19.0,43.0,0.0,4129.0,30.0,13.0,4129.0,4129.0,1788.0
23_011_014000,2018,4749.0,1724.0,3154.0,3.6,0.0,91.0,42.0,5527.0,75956.0,71286.0,3042.0,29.0,83.0,14.0,359.0,0.0,5983.0,,,5983.0,5983.0,2652.0
23_011_012000,2018,2847.0,812.0,2175.0,2.8,0.0,18.0,0.0,3548.0,86025.0,77125.0,2115.0,78.0,9.0,80.0,2.0,0.0,3639.0,55.0,36.0,3639.0,3639.0,1491.0
23_011_011000,2018,2835.0,875.0,2222.0,8.3,0.0,56.0,41.0,3974.0,87379.0,60570.0,2037.0,20.0,50.0,29.0,34.0,0.0,4128.0,86.0,60.0,4128.0,4128.0,1682.0
23_011_015000,2018,1937.0,910.0,1477.0,3.4,0.0,10.0,58.0,2470.0,104859.0,86156.0,1427.0,32.0,33.0,0.0,48.0,0.0,2571.0,75.0,16.0,2571.0,2571.0,977.0
23_011_014500,2018,1749.0,744.0,863.0,2.4,0.0,18.0,32.0,2073.0,71885.0,53533.0,842.0,14.0,25.0,14.0,8.0,0.0,2155.0,42.0,18.0,2155.0,2155.0,989.0
23_011_010900,2018,970.0,151.0,641.0,6.6,0.0,4.0,78.0,1449.0,49092.0,28631.0,599.0,0.0,15.0,0.0,52.0,0.0,1542.0,30.0,17.0,1542.0,1542.0,664.0
23_011_021000,2018,2869.0,591.0,1594.0,1.1,0.0,8.0,149.0,3109.0,69925.0,61224.0,1577.0,166.0,108.0,0.0,42.0,0.0,3366.0,40.0,0.0,3366.0,3366.0,1468.0
23_011_020000,2018,3091.0,905.0,2409.0,1.0,0.0,23.0,75.0,4134.0,86174.0,73917.0,2384.0,14.0,26.0,23.0,47.0,0.0,4288.0,30.0,0.0,4288.0,4288.0,1757.0
23_011_010600,2018,5553.0,1025.0,3782.0,3.6,21.0,79.0,79.0,7037.0,69295.0,56526.0,3644.0,101.0,91.0,75.0,57.0,0.0,7319.0,,,7319.0,7319.0,2965.0
23_011_022000,2018,1913.0,342.0,1494.0,5.2,0.0,100.0,0.0,2679.0,65522.0,57125.0,1417.0,28.0,19.0,9.0,0.0,0.0,2707.0,0.0,0.0,2707.0,2707.0,1121.0
23_011_016000,2018,2352.0,748.0,1471.0,6.6,0.0,22.0,1.0,3046.0,111718.0,80375.0,1374.0,0.0,0.0,74.0,1.0,0.0,3148.0,59.0,0.0,3148.0,3148.0,1278.0
23_011_023002,2018,2756.0,773.0,1934.0,4.6,0.0,73.0,17.0,3687.0,88737.0,64493.0,1845.0,22.0,44.0,140.0,30.0,0.0,3918.0,74.0,33.0,3918.0,3918.0,1521.0
23_011_010801,2018,1893.0,795.0,1382.0,0.7,0.0,19.0,89.0,2427.0,97969.0,73188.0,1373.0,15.0,0.0,26.0,0.0,6.0,2542.0,74.0,47.0,2542.0,2542.0,1041.0
23_011_020500,2018,1825.0,246.0,1105.0,2.4,0.0,19.0,17.0,2297.0,63959.0,51902.0,1079.0,109.0,86.0,0.0,0.0,0.0,2400.0,25.0,8.0,2400.0,2400.0,859.0
23_023_970301,2018,3276.0,1401.0,2201.0,1.0,0.0,44.0,52.0,3629.0,80627.0,77945.0,2180.0,0.0,22.0,182.0,84.0,48.0,4017.0,325.0,64.0,4017.0,4017.0,1873.0
23_023_970100,2018,2248.0,688.0,1970.0,2.3,0.0,15.0,42.0,3268.0,58531.0,51208.0,1925.0,33.0,106.0,0.0,32.0,0.0,3448.0,29.0,0.0,3448.0,3448.0,1583.0
23_023_970200,2018,4968.0,1624.0,3823.0,6.7,0.0,27.0,213.0,5753.0,80462.0,76750.0,3567.0,242.0,42.0,6.0,58.0,20.0,6203.0,107.0,86.0,6203.0,6203.0,2717.0
23_021_960302,2018,416.0,110.0,213.0,2.3,0.0,4.0,21.0,471.0,83806.0,65417.0,208.0,22.0,2.0,0.0,0.0,0.0,494.0,0.0,0.0,494.0,494.0,228.0
23_021_960301,2018,1299.0,260.0,793.0,7.7,0.0,20.0,21.0,1581.0,60265.0,44211.0,732.0,0.0,0.0,2.0,11.0,0.0,1615.0,0.0,0.0,1615.0,1615.0,716.0
23_021_960600,2018,1950.0,238.0,1124.0,6.8,0.0,26.0,0.0,2447.0,53898.0,43056.0,1048.0,14.0,24.0,36.0,0.0,0.0,2507.0,42.0,32.0,2507.0,2507.0,1106.0
23_021_960700,2018,3078.0,852.0,1365.0,2.9,0.0,7.0,155.0,3698.0,55803.0,36868.0,1325.0,9.0,75.0,108.0,14.0,0.0,4064.0,155.0,114.0,4064.0,4064.0,1710.0
23_021_960900,2018,1174.0,112.0,575.0,9.9,0.0,3.0,26.0,1398.0,56589.0,37462.0,518.0,2.0,50.0,0.0,2.0,0.0,1476.0,33.0,19.0,1476.0,1476.0,587.0
23_021_960400,2018,758.0,190.0,435.0,2.5,1.0,19.0,0.0,1011.0,63828.0,46875.0,424.0,13.0,3.0,0.0,5.0,0.0,1019.0,19.0,8.0,1019.0,1019.0,446.0
23_021_960800,2018,2865.0,453.0,1741.0,6.7,0.0,36.0,71.0,3643.0,52282.0,46111.0,1625.0,44.0,66.0,57.0,104.0,13.0,3938.0,90.0,36.0,3938.0,3938.0,1634.0
23_021_960500,2018,1451.0,215.0,766.0,2.6,0.0,14.0,25.0,1638.0,49969.0,36298.0,746.0,47.0,24.0,4.0,21.0,0.0,1751.0,10.0,6.0,1751.0,1751.0,753.0
23_013_970300,2018,5232.0,1489.0,3757.0,3.9,3.0,54.0,102.0,7077.0,76697.0,60481.0,3610.0,73.0,91.0,131.0,48.0,51.0,7417.0,,,7417.0,7417.0,2789.0
23_001_042000,2018,4242.0,781.0,3115.0,2.6,0.0,135.0,192.0,5342.0,84293.0,72446.0,3035.0,158.0,151.0,232.0,2.0,13.0,5821.0,97.0,54.0,5821.0,5821.0,2420.0
23_001_043000,2018,1470.0,324.0,1051.0,2.9,0.0,27.0,5.0,1931.0,79103.0,69808.0,1021.0,30.0,86.0,16.0,26.0,0.0,2048.0,13.0,7.0,2048.0,2048.0,832.0
23_001_020500,2018,2246.0,394.0,1739.0,9.8,0.0,54.0,95.0,3069.0,53920.0,40203.0,1569.0,8.0,191.0,89.0,73.0,0.0,3470.0,109.0,72.0,3470.0,3470.0,1460.0
23_001_040000,2018,2934.0,1103.0,2253.0,3.5,0.0,38.0,29.0,3915.0,93991.0,78625.0,2175.0,34.0,19.0,0.0,13.0,7.0,3983.0,12.0,0.0,3983.0,3983.0,1675.0
23_001_044000,2018,2133.0,297.0,1242.0,14.0,0.0,31.0,63.0,3008.0,40003.0,39085.0,1068.0,61.0,78.0,0.0,27.0,0.0,3176.0,9.0,4.0,3176.0,3176.0,1464.0
23_001_041500,2018,3736.0,652.0,2899.0,2.7,0.0,17.0,15.0,5251.0,88073.0,66913.0,2820.0,62.0,135.0,53.0,110.0,0.0,5564.0,77.0,12.0,5564.0,5564.0,2059.0
23_001_020800,2018,5854.0,1252.0,4483.0,2.2,0.0,282.0,55.0,7498.0,74164.0,65848.0,4383.0,0.0,55.0,245.0,268.0,0.0,8121.0,,,8121.0,8121.0,3384.0
23_001_020700,2018,4215.0,1227.0,3232.0,3.1,0.0,62.0,222.0,5054.0,80199.0,65099.0,3133.0,26.0,69.0,26.0,280.0,0.0,5439.0,122.0,37.0,5439.0,5439.0,2328.0
23_001_041000,2018,4211.0,890.0,3409.0,1.8,0.0,132.0,5.0,5526.0,84833.0,70625.0,3347.0,123.0,66.0,0.0,0.0,0.0,5624.0,5.0,0.0,5624.0,5624.0,2345.0
23_001_020300,2018,3809.0,447.0,3094.0,2.4,0.0,84.0,215.0,4931.0,36333.0,23059.0,3019.0,0.0,375.0,193.0,583.0,10.0,6228.0,,,6228.0,6228.0,2766.0
23_001_020400,2018,1614.0,243.0,928.0,14.0,0.0,9.0,14.0,1610.0,40282.0,35656.0,798.0,8.0,456.0,0.0,892.0,0.0,2828.0,,,2828.0,2828.0,1017.0
23_001_046000,2018,3070.0,731.0,2431.0,1.7,7.0,61.0,125.0,4130.0,105234.0,81000.0,2389.0,23.0,187.0,11.0,137.0,0.0,4340.0,82.0,64.0,4340.0,4340.0,1696.0
23_001_020600,2018,2215.0,512.0,1505.0,3.7,0.0,20.0,35.0,2570.0,81784.0,63594.0,1450.0,10.0,43.0,39.0,0.0,0.0,2687.0,27.0,0.0,2687.0,2687.0,1361.0
23_001_045000,2018,1433.0,293.0,1068.0,3.3,0.0,38.0,41.0,2240.0,79239.0,61250.0,1033.0,26.0,55.0,4.0,4.0,0.0,2332.0,52.0,14.0,2332.0,2332.0,757.0
23_001_030100,2018,3146.0,594.0,2728.0,3.3,0.0,154.0,43.0,4277.0,72218.0,59370.0,2639.0,48.0,100.0,50.0,43.0,0.0,4495.0,32.0,23.0,4495.0,4495.0,1962.0
23_001_020200,2018,903.0,117.0,794.0,1.4,0.0,4.0,0.0,1182.0,45042.0,35893.0,783.0,0.0,48.0,2.0,148.0,0.0,1376.0,51.0,37.0,1376.0,1376.0,757.0
23_001_020900,2018,2702.0,823.0,2016.0,11.7,0.0,19.0,81.0,3546.0,54967.0,43469.0,1781.0,0.0,96.0,110.0,433.0,5.0,4249.0,472.0,166.0,4249.0,4249.0,1654.0
23_001_010800,2018,2630.0,1070.0,2126.0,6.3,0.0,25.0,184.0,3556.0,87807.0,65433.0,1992.0,0.0,325.0,9.0,116.0,0.0,3999.0,126.0,34.0,3999.0,3999.0,1626.0
23_001_010100,2018,1172.0,156.0,650.0,14.3,2.0,48.0,39.0,1321.0,27301.0,17977.0,557.0,0.0,119.0,27.0,93.0,9.0,1578.0,37.0,19.0,1578.0,1578.0,937.0
23_001_010400,2018,1830.0,473.0,1476.0,2.9,0.0,13.0,99.0,2077.0,71828.0,58125.0,1433.0,0.0,42.0,192.0,6.0,0.0,2416.0,211.0,0.0,2416.0,2416.0,1010.0
23_001_010200,2018,3088.0,1089.0,2390.0,3.5,0.0,60.0,32.0,4176.0,84822.0,58103.0,2306.0,36.0,132.0,126.0,82.0,0.0,4591.0,138.0,133.0,4591.0,4591.0,2012.0
23_001_010700,2018,2182.0,765.0,1740.0,1.0,0.0,66.0,23.0,2723.0,94507.0,81635.0,1722.0,17.0,56.0,81.0,42.0,0.0,2925.0,94.0,49.0,2925.0,2925.0,1361.0
23_001_010500,2018,1329.0,178.0,1095.0,7.8,0.0,20.0,83.0,1719.0,49808.0,42222.0,1010.0,43.0,159.0,29.0,63.0,0.0,2025.0,22.0,13.0,2025.0,2025.0,810.0
23_001_030200,2018,2966.0,664.0,2346.0,4.8,13.0,117.0,137.0,4135.0,67266.0,60052.0,2234.0,0.0,137.0,14.0,21.0,0.0,4448.0,114.0,32.0,4448.0,4448.0,1755.0
23_001_010600,2018,2085.0,533.0,1729.0,4.3,0.0,33.0,0.0,2871.0,72683.0,47159.0,1654.0,0.0,128.0,1.0,38.0,0.0,3049.0,35.0,0.0,3049.0,3049.0,1259.0
23_001_010300,2018,1779.0,462.0,1326.0,12.7,0.0,34.0,8.0,2438.0,61155.0,44250.0,1157.0,6.0,212.0,0.0,67.0,0.0,2684.0,58.0,53.0,2684.0,2684.0,1165.0
