,TRACTCE20,BLOCKCE20,GEOID20,sup_dist,geometry,percent
4475,23001,1020,60750230011020,9,"POLYGON ((-122.40506 37.733652, -122.40506000001903 37.73365200017078, -122.40505999981943 37.73365199981591, -122.40497135370543 37.733497363907986, -122.40506 37.733652))",0.0
2563,17700,1009,60750177001009,9,"MULTIPOLYGON (((-122.4080070002911 37.769244000050215, -122.40800700026676 37.76924400000392, -122.408551 37.769252, -122.40905689942184 37.76922981770569, -122.40855100033728 37.7692520002177, -122.40800700116453 37.76924400020088, -122.4080070002911 37.769244000050215)), ((-122.40954 37.769235, -122.410755 37.769422, -122.41079466054873 37.7694195212157, -122.41075499981886 37.76942200026717, -122.40953999965099 37.76923500033328, -122.4092972928894 37.76922295071083, -122.40954 37.769235)), ((-122.410931 37.769411, -122.41093099985693 37.76941100011197, -122.41090377201631 37.769412701748976, -122.410931 37.769411)))",0.0
4496,17700,1006,60750177001006,6,"MULTIPOLYGON (((-122.407813 37.768354, -122.40781300021034 37.76835399998735, -122.40782647394452 37.768556109167804, -122.407813 37.768354)), ((-122.408007 37.769244, -122.407874 37.768991, -122.407853 37.768951, -122.407848 37.768881, -122.40784371047705 37.768815431577686, -122.40784800035541 37.76888099993073, -122.40785300037828 37.768951000140724, -122.40787400029471 37.76899099972376, -122.40800700026675 37.76924400000392, -122.408007 37.769244)), ((-122.409258 37.769221, -122.40905690136233 37.769229817620605, -122.40925799961867 37.76922099992431, -122.40929729448354 37.76922295078997, -122.409258 37.769221)), ((-122.410835 37.769417, -122.41079466082412 37.76941952119849, -122.41083500018476 37.76941699972822, -122.41090377036988 37.769412701851884, -122.410835 37.769417)), ((-122.410831 37.769232, -122.41084853459121 37.76926356226417, -122.41083099998681 37.76923200014447, -122.41082955298917 37.769216763827075, -122.410831 37.769232)))",0.0
2534,30900,3012,60750309003012,11,"MULTIPOLYGON (((-122.462274 37.723637, -122.46227155623322 37.723135213221866, -122.46227400030229 37.72363699977931, -122.46227573085248 37.72418568023635, -122.462274 37.723637)), ((-122.464984 37.721676, -122.46509526345073 37.72167545325086, -122.46498400012221 37.72167600006195, -122.46498399998912 37.72167600006301, -122.464984 37.721676)), ((-122.465564 37.721673, -122.46556399997635 37.721673000076876, -122.46550939940637 37.72167331561037, -122.465564 37.721673)))",0.0
133,25502,3010,60750255023010,8,"POLYGON ((-122.42957 37.732293, -122.42938760198363 37.73226275309276, -122.42956999964568 37.73229299974613, -122.43014899977894 37.732338999785725, -122.43014900004114 37.73233899980713, -122.430149 37.732339, -122.42957 37.732293))",0.0
2510,25502,1000,60750255021000,11,"MULTIPOLYGON (((-122.432865 37.73206, -122.433447 37.73192, -122.433685 37.731853, -122.434438 37.731642, -122.434505 37.731742, -122.435025 37.731542, -122.43511584432467 37.7315067133615, -122.43502500034384 37.731542000139854, -122.43450499976188 37.73174200021724, -122.43443799981472 37.73164200024605, -122.4336849996042 37.73185300014782, -122.43344699995284 37.731920000300626, -122.43286500034488 37.7320600002651, -122.43271615569975 37.73209553490051, -122.432865 37.73206)), ((-122.435259 37.731507, -122.43516700025737 37.73165299959159, -122.43516699973576 37.731652999659815, -122.4352589996746 37.731506999945765, -122.435259 37.731507)))",0.0
4546,16700,3002,60750167003002,8,"MULTIPOLYGON (((-122.439254 37.770025, -122.439254000082 37.770025000150916, -122.43882608773671 37.77008364197909, -122.439254 37.770025)), ((-122.439461 37.770406, -122.43949290884817 37.770426620340565, -122.43946099979448 37.770405999900795, -122.43928326569343 37.77007886584151, -122.439461 37.770406)), ((-122.44035799982028 37.77084700002278, -122.44033343081419 37.770815447992966, -122.440358 37.770847, -122.44035799982028 37.77084700002278)))",0.0
2462,61507,1003,60750615071003,3,"POLYGON ((-122.392414 37.793811, -122.39241399992015 37.793810999925924, -122.39248991880268 37.793762646953056, -122.392414 37.793811))",0.0
2460,30302,3009,60750303023009,4,"POLYGON ((-122.47622099996586 37.75050900000164, -122.4762209999601 37.75050899992038, -122.47621415794976 37.750367141491694, -122.476221 37.750509, -122.47622099996586 37.75050900000164))",0.0
2404,20202,1001,60750202021001,6,"MULTIPOLYGON (((-122.422439 37.770664, -122.42243900045314 37.770664000335316, -122.42244137994075 37.77068827539569, -122.422439 37.770664)), ((-122.423072 37.771563, -122.422965 37.771391, -122.422835 37.771235, -122.422718 37.771096, -122.422584 37.770965, -122.42250823932775 37.770902959764456, -122.42258400020877 37.770964999735185, -122.42271800010307 37.77109600006455, -122.42283500027895 37.771234999975995, -122.42296499997528 37.771390999728794, -122.42307200010536 37.771563000130826, -122.42307654793844 37.77157172461657, -122.423072 37.771563)), ((-122.42325 37.771937, -122.423179 37.771785, -122.42314943628294 37.77171975593476, -122.42317900023548 37.77178499967849, -122.42325000038062 37.77193699982235, -122.42331280058947 37.77195270014737, -122.42325 37.771937)))",0.0
2378,15202,2004,60750152022004,2,"MULTIPOLYGON (((-122.432003 37.788159, -122.43200299995087 37.78815899975595, -122.43200300035447 37.788158999704734, -122.43237583873315 37.78811188550638, -122.432003 37.788159)), ((-122.43328389950673 37.78799643794372, -122.43364699995284 37.78794999976624, -122.433647 37.78795, -122.43328389950673 37.78799643794372)))",0.0
