variable,avg_prop_missing
DP02_0003E,0.8566978847160421
DP02_0005E,0.8566978847160421
DP02_0007E,0.8566978847160421
DP02_0011E,0.8566978847160421
DP02_0016E,0.033304319828995406
DP02_0017E,0.03352515
DP02_0038E,0.026315789
DP02_0039E,0.025928620642204702
DP02_0040E,0.074176992
DP02_0041E,0.085734468
DP02_0042E,0.030970305113157102
DP02_0043E,0.034729704961067136
DP02_0066E,0.8264190385529279
DP02_0067E,0.8264190385529279
DP02_0154E,0.16389825367134236
DP03_0009PE,0.12121161384509775
DP03_0025E,0.031287462
DP03_0062E,0.036642845
DP03_0063E,0.033438933
DP03_0064E,0.039285714
DP03_0065E,0.034118742
DP03_0066E,0.039285714
DP03_0067E,0.056328236670069004
DP03_0068E,0.037589009
DP03_0069E,0.057820205
DP03_0070E,0.038706949
DP03_0071E,0.2510242482345696
DP03_0072E,0.067012802
DP03_0073E,0.3347342372318902
DP03_0074E,0.13857732646786008
DP03_0086E,0.060831199
DP03_0087E,0.035700548
DP03_0088E,0.036844037
DP03_0089E,0.039285714
DP03_0090E,0.11565711949301691
DP03_0091E,0.045563921
DP03_0092E,0.050737527267599426
DP03_0093E,0.063695123
DP03_0094E,0.055232646
DP03_0095E,0.7442913785273503
DP03_0103E,0.8296928480767374
DP03_0104E,0.746347154
DP03_0105E,0.611406313
DP03_0106E,0.746347154
DP03_0107E,0.7513140663746929
DP03_0108E,0.6343222224964707
DP03_0109E,0.6394089762680645
DP03_0110E,0.6284034107535166
DP03_0111E,0.7942166928529861
DP03_0112E,0.8264190385529279
DP03_0113E,0.746347154
DP03_0114E,0.746347154
DP03_0115E,0.676849266
DP03_0116E,0.6973135434823358
DP03_0117E,0.8264190385529279
DP03_0118E,0.8264190385529279
DP03_0119PE,0.097123612
DP03_0120PE,0.077629978
DP03_0121E,0.8264190385529279
DP03_0122PE,0.085126725
DP03_0123PE,0.073392183
DP03_0125PE,0.073374011
DP03_0126PE,0.11852486109342049
DP03_0128PE,0.1249867024004498
DP03_0129PE,0.075417452
DP03_0130PE,0.077331293
DP03_0133PE,0.1249867024004498
DP03_0134PE,0.11537634186337083
DP03_0135PE,0.079766621
DP03_0136PE,0.096599503
DP03_0137PE,0.099536248
DP05_0004E,0.017334136049973938
DP05_0018E,0.037135954
DP05_0028E,0.017334136049973938
DP05_0032E,0.047087393
