district,geometry
1,"POLYGON ((1308455.448393777 476329.55743543804, 1308871.4373911917 475921.43029893935, 1309035.9505136013 476080.9824732691, 1309120.4113026857 476151.1129104346, 1309064.2276880294 476227.3053433597, 1309148.2964175195 476292.9525217712, 1309160.7993452698 476302.1949573606, 1309231.7837833613 476215.1383729428, 1309253.5672043562 476221.1380328536, 1309290.9004630297 476231.42082068324, 1309313.5326356143 476237.65440401435, 1309331.5276783556 476242.61075893044, 1309354.1444310248 476248.8400771916, 1309376.045633942 476254.87221735716, 1309394.7893628627 476260.0349366814, 1309415.6338093579 476266.06412410736, 1309427.3647570312 476269.4571619332, 1309432.5980142802 476270.97061035037, 1309438.2020056993 476272.5916700959, 1309450.0628743619 476242.1091195196, 1309567.2775349468 476274.9827414304, 1309568.3766141087 476275.0322820246, 1309607.5438586026 476276.779981941, 1309604.8706356138 476376.3165282756, 1309676.5903084427 476379.36901560426, 1309667.272413686 476644.25168794394, 1309758.0501192808 476636.25531286, 1309785.3676499426 476653.4334281087, 1309791.5156035274 476653.1522606909, 1309858.5997869372 476644.969534263, 1309879.4544040263 476660.5525083542, 1309900.7056738585 476690.63118834794, 1309935.7259450257 476740.1957217753, 1310166.8137374371 477067.257731691, 1310223.9914446026 477148.1840790212, 1310287.2715017796 477237.7449235171, 1310300.9483116865 477253.296401605, 1310348.2320097685 477307.016438514, 1310343.543042779 477466.686394766, 1310293.8476041108 477516.664641276, 1310312.0933025181 477542.13211001456, 1310328.3688605279 477579.68354409933, 1310323.2084377706 477613.6926624328, 1310275.809582442 477676.8870898485, 1310075.9835385233 477942.8297994435, 1309708.2070431113 478448.0928965211, 1309735.2394693643 478467.1528977752, 1309620.5031502694 478625.82908959687, 1309532.4308198541 478564.4466664344, 1309514.8193065226 478544.0346337706, 1309459.8578022718 478620.3422239423, 1309407.6380904466 478675.95005235076, 1309632.526420191 478857.1928001046, 1309629.3915839493 478864.2213293463, 1309632.185541615 478868.2111507654, 1309648.4483043551 478891.4335452765, 1309618.161947608 478933.5824111104, 1309581.7460099459 478975.4734034389, 1309542.6834240258 479022.3486377746, 1309448.9332834482 479063.14711260796, 1309447.8181281984 479062.5654208511, 1309433.2778029442 479067.4430357665, 1309414.9313829392 479074.91644601524, 1309380.3074364364 479094.11358609796, 1309349.1726561934 479118.56924586, 1309335.1595608592 479132.5738110244, 1309289.8177880198 479177.4218184352, 1309214.8687909395 479254.5719266087, 1309217.7841394395 479253.8091328591, 1309226.2837943584 479253.2116931081, 1309234.7470320314 479254.188397184, 1309286.9591979384 479282.98394326866, 1309248.3575691134 479371.250499025, 1309211.685726449 479420.5948885232, 1309178.1542974412 479466.1778026074, 1309145.4837591052 479510.5907715261, 1309116.9926743656 479549.32330560684, 1309174.2943970263 479557.6087221056, 1309245.831983611 479567.95023685694, 1309334.9945349395 479580.8412871808, 1309309.7826431096 479681.6114268601, 1309260.7341847718 479751.31338718534, 1309213.590250194 479822.9284014404, 1309208.1270065308 479822.5507775247, 1309203.637514189 479822.24041068554, 1309155.427308768 479818.9077401906, 1309097.7548519373 479814.71352285147, 1309089.484527275 479815.55341619253, 1309038.6302982718 479819.38313293457, 1308981.4548876882 479823.6866020262, 1308964.963450864 479824.9290536046, 1308929.9923921973 479837.41721759737, 1308825.709136188 479874.65861293674, 1308824.481776446 479874.3246241063, 1308794.1570339352 479947.03838942945, 1308800.2337934375 479949.5124658495, 1308806.9726251066 479953.9461840242, 1308812.7219574451 479959.6056215167, 1308817.2609903514 479966.26965019107, 1308820.4204328656 479973.6915513575, 1308822.0785660297 479981.58523635566, 1308822.1704293638 479989.6498527676, 1308820.694710523 479997.57962693274, 1308817.7084960192 480005.0727221817, 1308813.321693778 480011.8414094299, 1308808.902739361 480015.4913365245, 1308798.8866832703 480023.7639577687, 1308609.2945427746 479890.68974885345, 1308594.8464089483 479882.3784137666, 1308578.2434237748 479874.5644530207, 1308561.0341406018 479868.20455759764, 1308543.338637948 479863.34859618545, 1308525.2920861095 479860.0306894332, 1308507.028999269 479858.27413126826, 1308488.680282697 479858.0963101089, 1308473.5681081861 479859.2508353591, 1308452.2761560231 479862.45752185583, 1308434.4887900203 479866.97096426785, 1308417.157459855 479872.98801259696, 1308400.4068371952 479880.4784831852, 1308384.3629060239 479889.3787278533, 1308369.1414797753 479899.6241141856, 1308195.3855936974 480027.3111947626, 1308231.7802059352 480093.3550259322, 1308212.2297201157 480103.2316465974, 1308211.4603646994 480101.7949696928, 1308145.877162531 480131.9097388536, 1308236.3750130236 480293.656134516, 1307857.7054947764 480592.76117935777, 1307701.5000985265 480398.6874205172, 1307574.5767959356 480495.17180760205, 1307582.6168061048 480506.0677831918, 1307490.6563601047 480566.19824035466, 1307462.763043195 480607.79297344387, 1307367.7501098514 480668.4687051028, 1307378.4971356094 480682.31447793543, 1307295.3749265224 480740.2812255174, 1307154.8709424436 480842.40044385195, 1307138.624911949 480818.499901101, 1307071.2500466853 480884.250097692, 1307050.2500886917 480859.9063143581, 1306523.7262073606 481286.61510659754, 1306047.055572778 480455.032452181, 1305977.2925889492 480328.4224691838, 1305952.4999876022 480295.06262776256, 1305900.3750918657 480206.62514060736, 1305820.195462197 480029.6835653484, 1305781.952756524 479927.1063426882, 1306145.624929443 479120.59384810925, 1306170.9998786896 479113.0938630998, 1306178.8256504387 479098.4229606837, 1306536.9364827722 478257.9216889292, 1307049.302912116 477754.0411350131, 1308455.448393777 476329.55743543804))"
2,"POLYGON ((1313784.758929357 480988.74660785496, 1313645.3750217706 480826.5937169343, 1313550.7856440246 480717.01716443896, 1313364.4103606045 480531.2947668582, 1313174.3733391017 480306.4979723543, 1312765.3482385278 480061.75338310003, 1312718.8686726987 479994.79846452177, 1312674.421583116 479950.3513749391, 1312617.6277334392 479896.0270085186, 1312536.1413478553 479844.1721253544, 1312454.6549622715 479802.1941909343, 1312392.9228022695 479762.68541169167, 1312333.659797445 479678.7298709303, 1312212.6646326035 479456.4937668592, 1312173.6154981107 479390.2284794301, 1312269.8826940209 479329.2771577686, 1312357.211259529 479273.1168370247, 1312372.5147066116 479264.9544517696, 1312352.5508357733 479213.0218128562, 1312299.1414937824 479163.84146502614, 1312203.3103206158 479163.493040517, 1311951.6700758636 479104.90949626267, 1311975.9577569366 478984.85429018736, 1311901.0560038537 478959.7388548553, 1311904.3620996028 478949.16965027153, 1311852.5328069478 478944.11749501526, 1311812.3255382776 478934.85537444055, 1311794.187123105 478896.87218268216, 1311825.2802367806 478801.6299190968, 1312088.1402753592 478699.2800581902, 1312043.8293403536 478604.52171751857, 1312190.6810807735 478549.976879105, 1312131.785201192 478478.4235445261, 1312120.9827293605 478445.2808942646, 1312092.8400691152 478464.5840052664, 1312017.2440916896 478494.3677383512, 1312010.075142771 478472.1223760247, 1311934.722275108 478301.17258667946, 1311913.3299294412 478252.64020343125, 1311929.6586369425 478241.6602385193, 1311877.337219268 478160.7122376859, 1311931.2800247818 478124.6509581059, 1311879.9674633592 478047.8715841025, 1311779.6654986143 478080.3298525214, 1311731.9825231135 478082.8127871901, 1311691.3864756972 478109.47251076996, 1311624.415481031 478010.7010547668, 1311617.6894446015 478012.45531634986, 1311607.2449116856 477996.7798227668, 1311582.613399282 477968.32056210935, 1311568.5937422812 477955.7359416038, 1311553.57605578 477944.3704787642, 1311537.6541716158 477934.3006170243, 1311516.5295419395 477923.7510974407, 1311503.569922194 477918.32755185664, 1311491.8445519358 477914.35183802247, 1311481.7618949413 477910.59889276326, 1311468.4554911107 477903.96931284666, 1311457.8951447755 477896.7055478543, 1311448.3052689433 477888.19736276567, 1311439.8315326124 477878.57763135433, 1311432.604184866 477867.9916945249, 1311330.664428115 477929.6438021809, 1311315.4410333633 477941.20873968303, 1311299.3157375306 477951.48201310635, 1311282.3954957724 477960.38849134743, 1311264.8010427803 477967.8684632629, 1311246.6491761953 477973.87271635234, 1311228.062599197 477978.3602401912, 1311209.1699204445 477981.2972421795, 1311190.9776996076 477982.6400872767, 1311179.4363841116 477982.2352324426, 1311168.0597664416 477980.2601707727, 1311157.0584761053 477976.7601777762, 1311146.6329720318 477971.7884029299, 1311136.9830569476 477965.44819252193, 1311128.2865520269 477957.8458455205, 1311120.7078270316 477949.1322802752, 1311114.3866454363 477939.4715384394, 1311109.440789193 477929.03553569317, 1311105.9621216059 477918.0253871083, 1311104.014947027 477906.6425358504, 1311103.6356826872 477895.10122035444, 1311104.8354834467 477883.61567902565, 1311107.585806027 477872.3998221904, 1311111.8397345245 477861.66395126283, 1311118.473579526 477850.1807065159, 1311132.8446137756 477836.2529128492, 1311148.2694516927 477823.49932943285, 1311164.6496682763 477812.00296135247, 1311181.8868385255 477801.8304095268, 1311199.8690860271 477793.0502433479, 1311218.4901117682 477785.7136438489, 1311237.629181102 477779.8681831062, 1311257.1708086878 477775.54765369, 1311276.9913071096 477772.7799426913, 1311296.9679731876 477771.5847351104, 1311316.9767914414 477771.9659679383, 1311330.2444814444 477773.09260609746, 1311340.1066664457 477779.7225141078, 1311398.5242005289 477745.35086368024, 1311411.3716157824 477733.5477376878, 1311436.9398061037 477710.0582833588, 1311461.8209899366 477686.6554430127, 1311500.9278671145 477649.8720520139, 1311466.247162193 477647.15388160944, 1311431.5667853653 477644.4357111901, 1311351.8828896135 477638.18998877704, 1311312.6913669407 477635.0856642723, 1311310.4384186864 477634.94196377695, 1311309.0529227704 477634.8333681822, 1311307.4082410187 477634.7044314295, 1311306.2041751891 477634.6099434346, 1311304.7173015326 477634.49347385764, 1311302.9374494404 477634.35403843224, 1311299.4256454408 477634.07877652347, 1311298.6247940212 477634.01578451693, 1311297.0467131883 477633.8924251795, 1311291.5460680276 477633.4613236934, 1311289.6736964434 477633.3130300194, 1311286.522784114 477633.0682798475, 1311283.6215431988 477632.84157426655, 1311279.4158429354 477632.50824160874, 1311276.0798916072 477632.2480715215, 1311272.3846890181 477631.95903010666, 1311268.2075320184 477631.63061869144, 1311263.9706638604 477631.29991067946, 1311260.7780849487 477631.0499111861, 1311255.8978453577 477630.66736601293, 1311251.319442436 477630.3051620126, 1311248.9480561018 477630.1204511076, 1311233.448087111 477628.9049023539, 1311213.8054098636 477627.3678319305, 1311212.643994853 477627.2756405175, 1311211.5495088547 477627.1906669438, 1311210.4077788591 477627.102084443, 1311208.906141445 477626.9839744419, 1311207.646957606 477626.8852213472, 1311202.750641942 477626.50366044044, 1311174.7192019373 477624.34388785064, 1311170.7434881032 477624.06632936, 1311151.1775823534 477622.6946129352, 1311136.5073361099 477621.6529483497, 1311121.2816447765 477620.5768350214, 1311104.684565112 477619.3960631043, 1311090.240040198 477618.38917535543, 1311069.4103574455 477616.90984760225, 1311043.1029953659 477615.0496151, 1311050.8710244447 477592.65792760253, 1311057.414974615 477461.761863932, 1311060.4973175228 477450.46037735045, 1311064.2660107762 477431.61592684686, 1311068.0350321084 477412.7711482644, 1311025.8648408651 477401.65207602084, 1311083.2413665205 477327.09382618964, 1311235.0780051053 477129.7904150188, 1311449.3141251951 476851.39989568293, 1311512.8963471055 476771.63463526964, 1311559.2909393609 476707.21711318195, 1311571.42346102 476691.47928376496, 1311605.1350077689 476647.7454473525, 1311635.110669613 476611.7012280971, 1311803.6503587812 476706.43430635333, 1311910.4080192745 476385.3184787631, 1311966.8770664483 476298.66314026713, 1312012.3645082712 476307.03976394236, 1312112.2701483518 475773.0044146925, 1312144.5138502717 475729.22267811, 1312219.3460496962 475697.94255693257, 1312269.1828922778 475677.4324273467, 1312318.5719011128 475657.699855268, 1312357.16303128 475642.28354752064, 1312367.5691784471 475633.1972796023, 1312410.9326087683 475595.32366769016, 1312433.6435213536 475577.07042334974, 1312456.3544339389 475558.81685093045, 1312499.8251475245 475517.75820602477, 1312580.269540444 475296.935156852, 1312733.1255339384 475169.43869268894, 1312733.7882622778 475143.3468813598, 1312847.5127723515 475350.4311128557, 1312984.3914356083 475543.94909851253, 1313163.749672696 475765.7869094312, 1313272.308510691 475883.78568919003, 1313393.619291693 476032.353633523, 1313423.8892442733 476066.81911577284, 1313445.250093937 476051.37492093444, 1313555.390621692 476184.86874844134, 1313724.169483602 476386.57372559607, 1313815.0000106096 476495.31235326827, 1313881.2173978537 476504.9790005982, 1313893.3659956157 476521.2529181838, 1314855.746288687 477700.6042340249, 1314904.3987504393 477787.49152743816, 1315138.7739378512 478198.94969402254, 1315304.814288199 478516.1055557728, 1315276.6624416113 478598.0486333519, 1315224.350538358 478650.8523335159, 1315142.190925777 478705.1100990176, 1315068.8285396993 478725.1727229357, 1314979.2985350192 478768.82847552, 1314972.2634441108 478821.3880816847, 1314953.421618268 478853.6855892688, 1314921.3426141888 478870.1215800196, 1314868.7082050294 478874.43686009943, 1314768.9259242713 478920.3166896105, 1314708.3765046895 478934.15130759776, 1314683.0747180283 478955.6368289292, 1314651.8008304387 479003.70923934877, 1314584.712710023 479023.0064448565, 1314560.8331646025 479038.30037751794, 1314532.6882077754 479068.89152368903, 1314504.5406262726 479132.98883643746, 1314504.539642021 479148.2857218534, 1314532.6760686934 479213.48047335446, 1314565.0782348514 479260.8297881037, 1314578.1510433555 479295.43076877296, 1314612.825842768 479355.16326084733, 1314619.360278532 479397.0470353514, 1314610.5450074375 479430.18935751915, 1314597.7523821145 479444.0279125273, 1314484.895980522 479498.28469376266, 1314463.2861156017 479578.7720656097, 1314413.2511106879 479644.32475602627, 1314402.3659618646 479679.86044611037, 1314400.1704281867 479705.5103291869, 1314413.2432366908 479743.0243617743, 1314495.6728618592 479805.30999834836, 1314493.3926826864 479878.8790769428, 1314521.8148699403 479919.3084580153, 1314521.8119171858 479946.98786459863, 1314512.9992707819 479962.28376576304, 1314486.8474201858 479965.19517727196, 1314417.491259694 479937.50986517966, 1314382.8121951967 479934.59353244305, 1314358.9326497763 479966.6416966915, 1314324.604634449 480052.4817481041, 1314315.7175131142 480076.2638527751, 1314270.2313836068 480148.37296052277, 1314244.0785487741 480173.5011911094, 1314209.3985000253 480188.7954518497, 1314196.3227387816 480191.708175689, 1314168.1823751032 480184.78627352417, 1314163.917947948 480190.24886101484, 1314146.5738225281 480259.08238476515, 1314136.7559287697 480342.784317106, 1314218.4326026887 480426.20869094133, 1314213.4286756963 480484.4142831862, 1314211.7515136898 480503.9198216051, 1314232.1802786142 480579.62406651676, 1314082.8219815195 480524.64845468104, 1314073.5769212693 480531.40664327145, 1314066.056267023 480556.11295868456, 1314047.1849136949 480563.99352034926, 1314042.982166186 480583.003981024, 1314007.8555960208 480589.0164361894, 1313998.6676222682 480590.58893960714, 1313963.6024036855 480544.94631434977, 1313948.7602417767 480551.0276670158, 1313891.240015611 480621.5029197633, 1313884.4021027684 480654.7590868473, 1313876.5064492822 480693.1596006006, 1313860.1501827687 480772.70963835716, 1313844.834596604 480808.38115493953, 1313844.710581109 480863.2215964347, 1313833.5419682711 480920.3993036002, 1313802.160797447 480968.43890568614, 1313793.2907364368 480982.0192591101, 1313784.758929357 480988.74660785496))"
3,"POLYGON ((1308871.5676402748 475921.0395516902, 1309222.8609009385 475570.79747001827, 1309281.1248920262 475554.71876202524, 1310615.5844934434 474213.31265218556, 1311383.2499528527 473445.87488260865, 1311367.138436526 473431.6022733599, 1311609.485392779 473179.530599013, 1312340.3920674473 474414.1974210143, 1312734.8292706907 475096.94179043174, 1312708.0954002738 475115.768852517, 1312723.8601325303 475140.0384890139, 1312731.1980443597 475138.22451627254, 1312733.918511361 475142.93021552265, 1312733.2557830215 475169.0220268518, 1312682.6180890203 475211.26078751683, 1312628.8035641015 475256.14521218836, 1312580.399789527 475296.51849101484, 1312574.8702730238 475311.69726642966, 1312555.410666272 475365.11415435374, 1312536.7086039484 475415.3738963604, 1312518.4881679416 475466.81736302376, 1312499.9553966075 475517.3415401876, 1312456.484683022 475558.4001851082, 1312433.7737704366 475576.65375751257, 1312411.0628578514 475594.907001853, 1312367.6994275302 475632.7806137651, 1312357.293280363 475641.86688168347, 1312318.7021501958 475657.28318943083, 1312269.3131413609 475677.01576152444, 1312219.4762987792 475697.5258911103, 1312144.6440993547 475728.80601227283, 1312112.4003974348 475772.58774885535, 1312096.8659796864 475855.5416511893, 1312012.4947573543 476306.6230981052, 1311967.0073155314 476298.24647442997, 1311910.5382683575 476384.90181294084, 1311803.7802797705 476706.01764051616, 1311635.240918696 476611.2845622748, 1311605.265256852 476647.32878151536, 1311559.421188444 476706.8004473597, 1311541.856591031 476731.18950618804, 1311513.0265961885 476771.2179694325, 1311477.9935297817 476812.79072093964, 1311449.4443742782 476850.98322986066, 1311419.3722559363 476890.06057952344, 1311388.6754669398 476929.94993543625, 1311357.0944933593 476970.98889535666, 1311343.7624990195 476988.31399193406, 1311326.8681758642 477010.267688185, 1311295.4026876092 477051.1534331888, 1311265.118299365 477090.50702902675, 1311235.2082541883 477129.3737491816, 1311174.6827846915 477208.02319818735, 1311143.9187386036 477247.9978557676, 1311129.0185059458 477267.35969369113, 1311113.0303489417 477288.13753926754, 1311083.3716156036 477326.67716035247, 1311054.6833527684 477363.95628526807, 1311051.1446459442 477368.55207660794, 1311025.9947618544 477401.23541018367, 1311068.1652811915 477412.35448244214, 1311057.5448956043 477461.34519810975, 1311055.4051361084 477504.1348106861, 1311051.0009454489 477592.24126176536, 1311043.233244449 477614.63294926286, 1311180.1420913637 477624.3025493473, 1311298.7550431043 477633.59911867976, 1311299.5558945239 477633.6621106863, 1311301.398410529 477633.8064673543, 1311303.0676985234 477633.93737261, 1311304.8475506157 477634.0768080205, 1311306.3340961933 477634.1932775974, 1311307.5384901017 477634.28776560724, 1311309.1831718534 477634.4167023599, 1311310.5686677694 477634.5252979398, 1311312.9321801066 477634.7103369385, 1311352.0131386966 477637.7733229399, 1311431.6970344484 477644.01904535294, 1311501.0581161976 477649.4553861916, 1311461.9512390196 477686.23877719045, 1311437.0700551867 477709.64161752164, 1311411.5018648654 477733.13107185066, 1311398.654449612 477744.934197858, 1311340.236587435 477779.30584827065, 1311330.3747305274 477772.6759402752, 1311317.1070405245 477771.54930210114, 1311297.0982222706 477771.16806927323, 1311277.1215561926 477772.36327685416, 1311257.3010577708 477775.1309878528, 1311237.759430185 477779.451517269, 1311218.6200327724 477785.2969780266, 1311199.9993351102 477792.6335775256, 1311182.0170876086 477801.41374368966, 1311164.7799173594 477811.5862955153, 1311148.3997007757 477823.0826636106, 1311132.9748628587 477835.8362470269, 1311118.603828609 477849.76404069364, 1311111.9699836075 477861.24728544056, 1311107.71605511 477871.98315635324, 1311104.965404436 477883.1990131885, 1311103.7659317702 477894.68455451727, 1311104.14519611 477906.22587001324, 1311106.092370689 477917.60872127116, 1311109.571038276 477928.618869856, 1311114.5168945193 477939.0548726022, 1311120.8380761147 477948.71561443806, 1311128.416473031 477957.4291796833, 1311137.1133060306 477965.03152668476, 1311146.7632211149 477971.37173710763, 1311157.1883971095 477976.34351193905, 1311168.1900155246 477979.8435049355, 1311179.5663051158 477981.81856660545, 1311191.1076206118 477982.2234214395, 1311209.3001695275 477980.88057635725, 1311228.19284828 477977.94357435405, 1311246.7794252783 477973.4560505152, 1311264.9309637696 477967.45179744065, 1311282.5257448554 477959.97182552516, 1311299.4459866136 477951.0653472692, 1311315.5712824464 477940.79207384586, 1311330.794677198 477929.2271363586, 1311432.734433949 477867.5750286877, 1311439.9617816955 477878.16096551716, 1311448.4355180264 477887.7806969434, 1311458.0253938586 477896.28888201714, 1311468.5857401937 477903.5526470244, 1311481.8921440244 477910.182226941, 1311503.700171277 477917.91088601947, 1311516.6594629437 477923.33443160355, 1311537.7844206989 477933.88395118713, 1311553.706304863 477943.9538129419, 1311568.7239913642 477955.3192757666, 1311582.7436483651 477967.9038962722, 1311595.6560241133 477981.6171234399, 1311607.3751607686 477996.3631569296, 1311617.8196936846 478012.0386505127, 1311624.545730114 478010.28406085074, 1311691.5167247802 478109.0558449328, 1311732.1124441028 478082.3961213529, 1311779.7957476974 478079.91318668425, 1311880.0977124423 478047.45491826534, 1311931.4102738649 478124.23429226875, 1311877.4671402723 478160.29557184875, 1311900.956922695 478196.63769076765, 1311929.7888860255 478241.24357268214, 1311913.4598504454 478252.223537609, 1311934.8525241911 478300.7559208572, 1311956.3587147743 478349.54716184735, 1311978.6529615223 478400.12744127214, 1312010.205391854 478471.70571018755, 1312017.3740126938 478493.9769911021, 1312092.9703181982 478464.1932580173, 1312121.1129784435 478444.89014701545, 1312131.915450275 478478.032797277, 1312190.8113298565 478549.58613185585, 1312043.9595894367 478604.13097026944, 1312088.2705244422 478698.86339235306, 1311825.2802367806 478801.6299190968, 1311794.187123105 478896.87218268216, 1311812.3255382776 478934.85537444055, 1311856.77131553 478945.09387102723, 1311904.3620996028 478949.16965027153, 1311901.0560038537 478959.7388548553, 1311975.9577569366 478984.85429018736, 1311951.6700758636 479104.90949626267, 1312153.1303028613 479152.0081553459, 1312203.3103206158 479163.493040517, 1312299.1414937824 479163.84146502614, 1312352.5508357733 479213.0218128562, 1312372.5147066116 479264.9544517696, 1312359.5468847752 479273.08993418515, 1312336.402902186 479287.5866243541, 1312210.0940996855 479367.41979801655, 1312173.7457471937 479389.8380602747, 1311979.3448892683 479515.1813135147, 1311784.654989943 479639.8519959301, 1311581.035646528 479770.2145961076, 1311519.8654932827 479854.9457258582, 1311400.809629023 479725.4840425253, 1311355.6689712703 479671.02549001575, 1311355.3382632732 479672.4962875992, 1311279.2934678644 479585.4757923484, 1311066.8906774372 479341.4930126071, 1311058.7017174363 479333.6980806887, 1311050.3155793548 479326.9057714343, 1311040.9248501062 479315.7345339358, 1310998.5443574488 479277.51184135675, 1310993.9892484397 479273.13291309774, 1310987.1598657817 479266.5574669391, 1310986.249106437 479265.6844371855, 1310931.051382199 479212.78034351766, 1310907.6649460196 479212.0848068595, 1310819.4000306875 479278.00331018865, 1310733.5589950234 479393.18024519086, 1310693.250020519 479335.13311718404, 1310615.4745855182 479438.01348885894, 1310538.5797261894 479376.86236444116, 1310634.5923294425 479249.1473967731, 1310573.4884490222 479161.59573459625, 1310517.797615528 479235.1385665238, 1310441.5366131961 479163.57506135106, 1310396.3309949487 479228.60511502624, 1310305.6136566848 479167.16462109983, 1310282.7866026014 479155.01405484974, 1310259.770900607 479163.1049179435, 1310222.16795744 479136.47964310646, 1310273.6616208553 479063.2117450237, 1310231.369054526 479033.4214502722, 1310203.8966685236 479013.72365501523, 1310208.3136544377 479013.23087385297, 1310462.9381451905 478665.65053227544, 1310319.498471439 478558.6254838556, 1310303.7179911882 478547.6346921921, 1310287.0592318624 478537.00282368064, 1310422.7390786111 478363.1439194381, 1310319.7786546052 478233.0660956055, 1310179.2589225322 478420.1382280141, 1310016.305180192 478639.93962568045, 1309984.009641111 478621.11092318594, 1309919.3309646994 478711.93554468453, 1309816.7547262758 478637.14402760565, 1309793.6196019351 478623.52331992984, 1309775.0271194428 478649.16664135456, 1309688.0594456047 478769.115220353, 1309650.4532216042 478820.98289877176, 1309630.7724866867 478860.9887242764, 1309407.7683395296 478675.5333865136, 1309453.738063857 478620.6201105267, 1309514.9495556056 478543.6179679334, 1309532.5610689372 478564.03000059724, 1309620.6333993524 478625.4124237746, 1309735.3697184473 478466.736231938, 1309708.3369641155 478447.6762306839, 1309771.2403816134 478359.12457051873, 1309787.7705322802 478336.48222735524, 1309801.3873029351 478317.8283932656, 1309816.1697536856 478297.57941801846, 1309824.8173741847 478285.74315559864, 1309830.9518763572 478277.3307708502, 1309840.7956886888 478263.95481334627, 1309845.430850029 478257.4964929372, 1309870.8067835271 478222.73442335427, 1309888.0780744404 478199.0776465237, 1309911.4691037685 478167.0350596905, 1309948.455578357 478116.37144710124, 1309977.5897064358 478076.4607657641, 1310006.5843991041 478036.7429974377, 1310036.317935437 477996.0121077746, 1310061.1111929417 477962.2241176069, 1310094.358829856 477918.59461168945, 1310126.2281886935 477876.10060217977, 1310142.6746781021 477854.1767615229, 1310170.2192424387 477817.4514412731, 1310213.666334018 477759.52439177036, 1310244.3788710237 477718.57926368713, 1310262.1878905296 477694.8345605135, 1310275.9395034462 477676.49667069316, 1310292.6970158517 477654.15485185385, 1310323.3386868536 477613.30191518366, 1310328.498781532 477579.2927968502, 1310305.9735641032 477542.40999659896, 1310293.9778531939 477516.2738940269, 1310301.7704885304 477508.8818484396, 1310343.673291862 477466.2959756106, 1310348.3619307727 477306.62601935863, 1310287.4017508626 477237.35450434685, 1310224.1213656068 477147.79365985096, 1310166.9439865202 477066.86731252074, 1310109.4837996066 476985.5423439294, 1310051.1108848602 476902.926039353, 1309994.9059447795 476823.3792824298, 1309964.698656112 476780.6260870993, 1309935.8561941087 476739.80530260503, 1309900.8359229416 476690.2404410988, 1309879.5846531093 476660.1620891839, 1309858.6191438586 476644.49611002207, 1309785.3676499426 476653.4334281087, 1309758.0501192808 476636.25531286, 1309751.930380866 476636.5331994295, 1309667.272413686 476644.25168794394, 1309676.5903084427 476379.36901560426, 1309604.8706356138 476376.3165282756, 1309607.5438586026 476276.779981941, 1309581.4133334458 476276.1589201838, 1309572.6443221122 476275.2225703597, 1309568.3766141087 476275.0322820246, 1309567.2775349468 476274.9827414304, 1309560.374005437 476273.04672168195, 1309555.7552482784 476271.7514486909, 1309530.5459811091 476264.6812528521, 1309450.0628743619 476242.1091195196, 1309438.2020056993 476272.5916700959, 1309394.7893628627 476260.0349366814, 1309231.7837833613 476215.1383729428, 1309160.7993452698 476302.1949573606, 1309148.2964175195 476292.9525217712, 1309064.2276880294 476227.3053433597, 1309120.4113026857 476150.8524122685, 1309036.0807626992 476080.59172602, 1308981.4778535217 476032.0895264298, 1308871.5676402748 475921.0395516902))"
