district,geometry
1,"POLYGON ((-77.01149896270233 38.97430951323073, -77.01120328228122 38.97448979032441, -77.01115930754133 38.97451517161558, -77.01090958499452 38.97427616267175, -77.01083296512773 38.97429264314643, -77.01070165099213 38.97432088883426, -77.01062204567027 38.97433801173063, -77.01055875073992 38.97435162619697, -77.01047919958671 38.97436873728046, -77.01040216523973 38.97438530669119, -77.01033623682729 38.974399487888896, -77.01026291952124 38.97441604877183, -77.01022165760554 38.97442536869789, -77.01020325037476 38.974429525802186, -77.01018353913754 38.97443397848708, -77.01014180696995 38.97435028573953, -77.00972952066665 38.97444058233935, -77.00972565470632 38.97444071868523, -77.00958788571158 38.97444552874583, -77.00959732550454 38.97471882687637, -77.00934505376121 38.97472722856438, -77.00937792503032 38.97545451796271, -77.00905860976383 38.975432587375565, -77.00896252574108 38.97547976096446, -77.00894090008141 38.97547899061455, -77.0087049272394 38.975456540993065, -77.00863157586888 38.97549933281473, -77.00855683395362 38.975581925748756, -77.0084336653048 38.975718024707575, -77.00762090220294 38.9766160989974, -77.00741979828202 38.97683831245009, -77.00719722987397 38.97708423471892, -77.00714912459314 38.97712693756116, -77.00698281374794 38.97727444739685, -77.00699935077238 38.977712854208995, -77.00717417487245 38.97785006950556, -77.00711000006679 38.97791999976723, -77.00705275867578 38.97802310866649, -77.0070709204913 38.97811648682151, -77.00723767080817 38.97828999032776, -77.00794067243582 38.979020146770225, -77.00923457847 38.98040735836079, -77.0091394914492 38.980459699083134, -77.00954316554973 38.980895345770364, -77.00985296216125 38.98072678170667, -77.00991490781219 38.98067073093409, -77.01010827992738 38.980880232949374, -77.01029199989529 38.981032899931506, -77.00950095492368 38.981530606968704, -77.00951198529225 38.98154990437718, -77.00950215810802 38.981560860069656, -77.00944495705006 38.981624626669614, -77.00955151468145 38.98174034658716, -77.00967963542874 38.981855356576446, -77.0098170689671 38.981984050924744, -77.01014688321712 38.98209604355734, -77.0101508059371 38.98209444606009, -77.01020195851866 38.982107834125344, -77.01026650141682 38.98212834829472, -77.0103883109642 38.982181047317546, -77.01049784843615 38.9822481856846, -77.01054715018341 38.98228663372206, -77.01070667461302 38.98240975884292, -77.01097036762516 38.982621566210696, -77.01096011147227 38.98261947276204, -77.01093021050049 38.98261783516405, -77.01090043830263 38.982620519688346, -77.0107167743397 38.982699600870156, -77.01085260709624 38.98294194267234, -77.01098163550581 38.98307741598625, -77.0110996151237 38.983202562284916, -77.01121456611486 38.98332449642255, -77.01131481205837 38.983430835045326, -77.0111132330367 38.98345360371662, -77.01086157416043 38.98348202214959, -77.0105479129286 38.98351744593206, -77.01063664762563 38.98379412338583, -77.01080922583024 38.983985488861954, -77.01097510574881 38.98418210739379, -77.01099432501644 38.98418106874347, -77.01101011870196 38.98418021508088, -77.0111797184382 38.9841710484503, -77.01138260548733 38.98415951278229, -77.01141170045057 38.98416181604979, -77.01159060483404 38.98417231374499, -77.01179174709752 38.98418410971273, -77.0118497637455 38.98418751525962, -77.0119727960137 38.98422179159208, -77.01233967738983 38.98432400748699, -77.0123439950319 38.98432308999535, -77.01245071111255 38.98452272950062, -77.01242933444871 38.98452952486713, -77.01240562956814 38.98454170108193, -77.01238540629355 38.98455724239135, -77.01236944128735 38.984575541561625, -77.01235832999434 38.984595921113915, -77.01235250048562 38.98461759548829, -77.01235218115174 38.984639738608344, -77.01235737646903 38.984661510908275, -77.01236788546959 38.98468208365313, -77.0123833213666 38.98470066686218, -77.01239886889215 38.984710686851024, -77.01243410911955 38.98473339731661, -77.01310102309534 38.98436794151705, -77.01315184685302 38.98434511530809, -77.0132102515093 38.98432365386605, -77.01327078980472 38.98430618459255, -77.01333303934243 38.984292844457386, -77.01339652462661 38.98428372719768, -77.01346077246517 38.98427889682423, -77.01352532235954 38.98427840113258, -77.0135784869361 38.98428156496282, -77.01365339278797 38.98429036087015, -77.01371597036383 38.98430274614695, -77.0137769444447 38.98431926004307, -77.01383587643403 38.98433981973726, -77.01389232309936 38.98436425052589, -77.01394587698532 38.98439237499931, -77.01455721524053 38.98474289202645, -77.01442921646779 38.984924244992555, -77.01449800036782 38.984951354807194, -77.01450070614942 38.984947409775955, -77.01473144426357 38.985030067316394, -77.01441316324524 38.98547421537798, -77.01574550998278 38.986295298686265, -77.01629492745161 38.9857623536046, -77.01674150965478 38.98602720847828, -77.01671323157267 38.98605712968734, -77.01703679197445 38.98622218366795, -77.01713494959303 38.9863363763067, -77.01746925145969 38.98650292467213, -77.01743145201166 38.986540946754, -77.01772392120449 38.986700062533856, -77.01821829660138 38.9869803760652, -77.01827543476361 38.98691474325744, -77.01851251228523 38.987095236767225, -77.01858637470681 38.98702838415207, -77.02043907039456 38.9881996923692, -77.02211536045584 38.98591610492709, -77.02236068013124 38.98556842424418, -77.02244787214265 38.98547681115563, -77.02263117120847 38.98523395229897, -77.02291308719391 38.9847480674397, -77.02304753314549 38.984466393858746, -77.02176747036842 38.98225219020859, -77.02167819867572 38.982231614005336, -77.02165065650226 38.98219133706388, -77.02039021467172 38.979883790326326, -77.01858748214427 38.978500580019656, -77.01364037590511 38.97459003809494, -77.01217695218416 38.97346959904024, -77.01159836126375 38.97390774259909, -77.01130130566207 38.97410032984009, -77.01149896270233 38.97430951323073))"
2,"POLYGON ((-76.99489372530593 38.9873835070948, -76.99538412204916 38.986938303129165, -76.9957169138782 38.98663745064605, -76.99637262169524 38.986127533429325, -76.9970412066595 38.98551032592549, -76.99848017839815 38.984838356241724, -76.99864369627498 38.9846545195651, -76.9988000620848 38.98453248251963, -76.99899986318549 38.984383325516916, -76.99928653059575 38.984240949212285, -76.99957319669787 38.98412569142624, -76.99979036760705 38.9840172124123, -76.99999885152138 38.98378669512094, -77.00042450067876 38.98317649863936, -77.00056187027718 38.982994552837305, -77.00022321204462 38.98282719935091, -76.99991600038629 38.982672999602414, -76.99986216478106 38.98265058801147, -76.99993239534163 38.98250799612339, -77.00012028218853 38.982372961119786, -77.0004574030682 38.98237200361464, -77.00134263579358 38.98221114338831, -77.00125718945007 38.981881507559734, -77.0015206802256 38.981812544726296, -77.00150904931238 38.981783524904884, -77.00169137579726 38.981769650656446, -77.00183281758618 38.98174421742704, -77.0018966226967 38.981639925573305, -77.00178723596542 38.98137841963306, -77.00086254001077 38.981097407026276, -77.00101841327594 38.980837226793355, -77.0005018191321 38.980687465804, -77.00070899987949 38.98049099996789, -77.0007469995318 38.980399999595875, -77.00084599942754 38.98045299968383, -77.00111192978838 38.98053477497716, -77.0011371475392 38.98047369540201, -77.00140221226012 38.98000431380777, -77.00147746232493 38.979871056974766, -77.00142002159404 38.979840909873516, -77.00160406960048 38.97961864765491, -77.0014143116004 38.979519636238095, -77.00159481018663 38.97930881990911, -77.00194764596468 38.979397935606244, -77.0021153813125 38.97940475011489, -77.00225818899419 38.97947794735287, -77.00249376467808 38.97920674464452, -77.00251742506786 38.979211560833974, -77.00255416432502 38.97916851965308, -77.00264080780475 38.979090376806155, -77.00269012345308 38.979055821943106, -77.0027429499478 38.97902461443216, -77.00279895722814 38.97899696416817, -77.0028732660807 38.97896799642686, -77.00291885345179 38.97895310380539, -77.00296009925835 38.97894218660467, -77.0029955665178 38.9789318811958, -77.00304237357837 38.9789136770722, -77.00307952075869 38.97889373189514, -77.00311325395484 38.97887036997821, -77.00314306076328 38.97884395617122, -77.00316848302685 38.978814889553746, -77.00352708354146 38.97898415820519, -77.00358063639891 38.97901591056205, -77.00363736173892 38.979044116258386, -77.00369688331004 38.979068569013236, -77.00375877638858 38.97908910488651, -77.00382263009998 38.97910558876446, -77.00388801279534 38.979117908055585, -77.0039544720519 38.97912596998786, -77.00401846707406 38.97912965487194, -77.0040590659231 38.97912854185537, -77.00409908516492 38.97912311750981, -77.00413778386792 38.979113506175615, -77.00417445687977 38.97909985381238, -77.00420840136613 38.979082444206355, -77.00423899181963 38.97906156924888, -77.00426565006043 38.97903764334187, -77.00428788447068 38.979011116917135, -77.00430528076042 38.97898246202327, -77.00431751582045 38.97895223087833, -77.00432436348716 38.97892097659714, -77.00432569569853 38.97888928742237, -77.00432147325823 38.978857751592514, -77.00431179661551 38.97882695643945, -77.00429683084734 38.97879747938276, -77.00427349317316 38.97876595055708, -77.00422293814421 38.97872771068554, -77.00416867641341 38.97869269496703, -77.00411105421962 38.97866113129236, -77.00405041779675 38.97863320251158, -77.00398716069463 38.978609096878415, -77.00392165683895 38.97858895490454, -77.00385433093295 38.97857290719143, -77.00378558921102 38.978561046507494, -77.0037158667577 38.978553449406334, -77.00364559519335 38.978550169922165, -77.00357521075176 38.97855121885049, -77.00352853949984 38.978554313691724, -77.00349384844144 38.97857251855076, -77.00328835019735 38.97847814985766, -77.00324315575298 38.97844574313506, -77.0031532124796 38.97838125031759, -77.00306568603601 38.97831699518379, -77.00292811710182 38.9782160021072, -77.00305011161447 38.978208535675826, -77.00317210494744 38.97820106911714, -77.00345240468913 38.978183912222896, -77.0035902665403 38.97817538449054, -77.00359819161555 38.9781749896868, -77.00360306529738 38.978174691364494, -77.00360885070275 38.97817433716291, -77.00361308617796 38.9781740775953, -77.00361831647051 38.978173757641684, -77.00362457735687 38.97817337459827, -77.00363693063362 38.97817261842479, -77.00363974774385 38.97817244537923, -77.00364529887055 38.97817210649712, -77.00366464818194 38.978170922211824, -77.00367123451821 38.97817051483353, -77.00368231830592 38.978169842471566, -77.00369252383811 38.97816921968151, -77.00370731799266 38.978168303977974, -77.00371905268081 38.97816758925323, -77.00373205108649 38.978166795214655, -77.0037467448354 38.97816589302162, -77.00376164862686 38.9781649845142, -77.00377287898074 38.9781642977258, -77.00379004592244 38.97816324681182, -77.0038061511095 38.97816225178085, -77.0038144928003 38.97816174434611, -77.0038690161554 38.97815840500812, -77.00393811207176 38.97815418234896, -77.0039421975141 38.978153929080236, -77.00394604752441 38.97815369563741, -77.00395006372217 38.97815345227979, -77.00395534594523 38.978153127805186, -77.00395977530339 38.97815285650773, -77.0039769987898 38.9781518082669, -77.0040756033591 38.97814587475842, -77.00408958850008 38.9781451121745, -77.00415841436143 38.97814134340908, -77.004210019036 38.97813848145174, -77.00426357756396 38.978135524814014, -77.0043219601385 38.97813228061127, -77.0043727707965 38.9781295140986, -77.00444604213803 38.97812544952789, -77.00453858197723 38.978120338310305, -77.00451125285792 38.97805885823811, -77.00448821089722 38.97769945619029, -77.00447736640022 38.97766842597381, -77.00446410628952 38.977616685038335, -77.00445084504396 38.97756494320008, -77.00459918199573 38.97753440768511, -77.00439734034326 38.977329699924894, -77.00386320836783 38.976787980291945, -77.0031095808787 38.97602362225226, -77.00288591842799 38.97580461544028, -77.00272271692006 38.97562774729244, -77.00268003879258 38.97558453670632, -77.00256145318946 38.975464458773224, -77.00245600974662 38.97536549392907, -77.00186317540879 38.975625614781535, -77.00148763379796 38.97474392799832, -77.001289000421 38.97450599956965, -77.00112899988773 38.97452900103815, -77.00077756827457 38.973062695257234, -77.00066415306549 38.97294248378458, -77.00040093803555 38.972856598682874, -77.00022564211261 38.972800284179634, -77.00005192167293 38.972746104363736, -76.99991618177495 38.972703775555125, -76.99987957938988 38.97267882721929, -76.99972705395687 38.97257483680979, -76.99964717132349 38.972524718384356, -76.99956728880248 38.972474599003, -76.99941438697941 38.97236186298598, -76.99913144181612 38.97175554394863, -76.99859380248068 38.97140546966272, -76.99859147286836 38.97133382893287, -76.99819145322819 38.971902417874, -76.99770998659368 38.97243375476627, -76.99707909202321 38.97304284415252, -76.99669723194857 38.97336682500047, -76.99627050989305 38.973774737360465, -76.99616403211797 38.97386936629314, -76.99608889888167 38.97382695845398, -76.99570146401187 38.97419348078832, -76.99510775332176 38.974747281681125, -76.99478823637929 38.97504583304817, -76.99455531464379 38.97507236428396, -76.99451257848551 38.975117045807714, -76.99112699852407 38.97835499814182, -76.99095582522699 38.978593552513935, -76.99013121282299 38.97972323130696, -76.98954699968428 38.98059399890944, -76.98964599884081 38.98081899970482, -76.98983000021273 38.98096399953113, -76.99011900005259 38.98111300042382, -76.9903770668313 38.98116810809863, -76.99069200008707 38.98128799964262, -76.99071672939003 38.98143231506451, -76.99078299999492 38.98152099990562, -76.99089584240271 38.98156613721253, -76.99108099943369 38.98157799998746, -76.99143200070651 38.98170399894416, -76.9916449987812 38.98174200020504, -76.99173399935405 38.98180099954295, -76.99184400059646 38.98193300016811, -76.99208000002857 38.981986000918006, -76.99216399991002 38.98202799928006, -76.99226300039642 38.98211200028636, -76.99236200048747 38.98228799942016, -76.99236199944752 38.982330000229034, -76.9922629999908 38.9825089995893, -76.99214899908465 38.98263899946539, -76.99210300004125 38.982734000614734, -76.99198099979027 38.98289800038873, -76.9919579993947 38.98301299948653, -76.99198900035292 38.98310400080045, -76.99203399926263 38.983142000524346, -76.99243100101846 38.983291000240335, -76.99250699928926 38.9835120000539, -76.99268299988377 38.98369199981669, -76.99272128308128 38.983789572871004, -76.99272899963326 38.98386000046568, -76.99268299975353 38.98396300021202, -76.99239299894111 38.98413399993556, -76.99240099895208 38.98433599971966, -76.99230099885716 38.984447000482525, -76.99230100103252 38.984523000068116, -76.99233199912587 38.984565000191665, -76.99242399971924 38.98457300007447, -76.99266800050762 38.984496999824884, -76.9927900011333 38.984489000009056, -76.99287399978328 38.98457700007692, -76.99299474158134 38.98481269913012, -76.99302599993065 38.98487799972316, -76.99318600056802 38.985075999732786, -76.99327799962445 38.98514499984673, -76.99340000012205 38.98518700037224, -76.99344599993255 38.98519500044863, -76.99354499950394 38.98517600043029, -76.99356000040656 38.98519099992862, -76.99362100014599 38.98538000004004, -76.99365551913836 38.985609822987364, -76.99336815746007 38.985838866011754, -76.99338574660679 38.98599868255732, -76.99339164196478 38.98605223939868, -76.99331975317934 38.98626009704192, -76.99384521682933 38.98610917891312, -76.99387773979056 38.98612773663043, -76.993904192008 38.98619557433191, -76.99397058056385 38.98621721549142, -76.99398536164277 38.9862694134194, -76.99410893747773 38.986285928152505, -76.99414126092566 38.98629024741061, -76.99426463241178 38.98616493222014, -76.99431684654274 38.98618163238544, -76.99451919071755 38.986375146479716, -76.99454323991209 38.98646645931256, -76.9945710092966 38.98657189718246, -76.99462853531614 38.98679032096441, -76.99468240947189 38.98688826696934, -76.99468283453145 38.9870388427851, -76.99472211511824 38.98719583780281, -76.99483250766663 38.98732774540627, -76.99486371080306 38.987365034452175, -76.99489372530593 38.9873835070948))"
3,"POLYGON ((-77.00178723596542 38.98137841963306, -77.0018966226967 38.981639925573305, -77.00183281758618 38.98174421742704, -77.0016764654964 38.98177233171665, -77.00150904931238 38.981783524904884, -77.0015206802256 38.981812544726296, -77.00125718945007 38.981881507559734, -77.00134263579358 38.98221114338831, -77.00063392918555 38.9823404686292, -77.0004574030682 38.98237200361464, -77.00012028218853 38.982372961119786, -76.99993239534163 38.98250799612339, -76.99986216478106 38.98265058801147, -76.99990778394343 38.982672925728814, -76.9999892016275 38.9827127294664, -77.00043354207382 38.98293192737079, -77.00056141206638 38.98299348086194, -77.00124529951601 38.98333763172339, -77.00193021034875 38.98367993186123, -77.00264654162612 38.98403785560691, -77.00286174418393 38.98427049754847, -77.00328056112566 38.98391502246321, -77.00343935596943 38.98376549056484, -77.00344051957242 38.98376952891283, -77.00370802751151 38.983530587773366, -77.00445520156323 38.98286065590118, -77.00448400804835 38.98283925218144, -77.00451350834025 38.98282060133836, -77.00454654188434 38.98278992708532, -77.00469562458403 38.9826849727811, -77.00471164810607 38.98267294887119, -77.00473567183603 38.982654893635036, -77.00473887561539 38.98265249641905, -77.00493304432143 38.982507229108144, -77.00501531460763 38.98250531586754, -77.00532583254414 38.98268629521312, -77.00562783580656 38.98300252348116, -77.00576962558101 38.98284313602193, -77.00604325462739 38.98312560181431, -77.00631374814407 38.98295768430629, -77.00597595682964 38.98260703384279, -77.00619089169464 38.98236663121148, -77.00638682246922 38.98256854794763, -77.0066550805685 38.98237204037709, -77.0068141247891 38.98255058487246, -77.00713323981267 38.98238186808178, -77.00721353888132 38.9823485012279, -77.00729450720145 38.98237071136839, -77.00742678155864 38.9822975977651, -77.00724561366832 38.982096436734736, -77.00739438403289 38.982014631913984, -77.00749102193555 38.98196054133052, -77.00747548353469 38.981959189290485, -77.00657966667421 38.98100488818866, -77.00708422880982 38.98071099889918, -77.00713973804989 38.98068081798893, -77.00719833693276 38.98065162236121, -77.00672100039839 38.980174284475666, -77.0070831543263 38.9798171069734, -77.00757752030634 38.980330722019, -77.00815082176241 38.98093419453933, -77.0082644247358 38.98088248839851, -77.00849198038368 38.98113185022194, -77.0088527976796 38.98092646760877, -77.00893417752293 38.980889062898704, -77.00899959084958 38.98095946702381, -77.00930556810539 38.981288787154405, -77.0094378784788 38.98143119017588, -77.0095071263382 38.98154102897526, -77.0102915415403 38.98103175592804, -77.0101298079827 38.98088099408296, -77.0099144494656 38.98066958692907, -77.00985250381527 38.98072563770143, -77.00954270720766 38.980894201763974, -77.0091390331164 38.98045855507503, -77.00923412129012 38.98040621435293, -77.00901281107423 38.980163094350516, -77.00895465426862 38.98010092948538, -77.00890674746778 38.98004971510415, -77.00885473962595 38.97999412121642, -77.00882431547747 38.97996162455809, -77.00880273301948 38.979938528205686, -77.0087681005056 38.97990180429101, -77.00875179303313 38.9798840728297, -77.00866251550434 38.97978863287123, -77.00860175184113 38.97972368267698, -77.00851945795789 38.97963570900701, -77.00838933324829 38.97949661075542, -77.00828683478623 38.9793870348479, -77.00818482719353 38.97927798849726, -77.00808022056412 38.97916616049583, -77.00799299481336 38.979073394411884, -77.00787602637507 38.978953608302746, -77.00776390702161 38.978836939497846, -77.00770604689527 38.97877674677636, -77.0076091430292 38.97867591597406, -77.00745629342423 38.97851687482815, -77.00734824519695 38.97840445813722, -77.00728559233927 38.978339265939354, -77.00723721368125 38.97828891837746, -77.00717826025672 38.9782275778081, -77.00707046221385 38.97811541396974, -77.00705230155327 38.97802203581454, -77.0071315271957 38.977920761453156, -77.00717371659515 38.9778489966541, -77.0071463028809 38.9778287019016, -77.00699889249869 38.97771178225768, -77.00698235663138 38.977273375445336, -77.00719677160136 38.977083162768224, -77.00741934116168 38.976837240500124, -77.00762044392695 38.97661502704826, -77.00782254011335 38.97639171867442, -77.008027845205 38.97616486408261, -77.00822552401442 38.97594643775463, -77.00833176579128 38.975829042211274, -77.00843320702239 38.975716952761424, -77.00855637567011 38.975580852902254, -77.00863111758488 38.97549826086928, -77.00870485899223 38.97545524111074, -77.00896252574108 38.97547976096446, -77.00905860976383 38.975432587375565, -77.00908013616213 38.97543334870316, -77.00937792503032 38.97545451796271, -77.00934505376121 38.97472722856438, -77.00959732550454 38.97471882687637, -77.00958788571158 38.97444552874583, -77.0096797988464 38.974443815916146, -77.00971064323906 38.97444124241005, -77.00972565470632 38.97444071868523, -77.00972952066665 38.97444058233935, -77.00975380290274 38.97443526455966, -77.0097700487575 38.974431706754075, -77.00985871892267 38.97441228657527, -77.01014180696995 38.97435028573953, -77.01018353913754 38.97443397848708, -77.01033623682729 38.974399487888896, -77.01090958499452 38.97427616267175, -77.01115930754133 38.97451517161558, -77.01120328228122 38.97448979032441, -77.01149896270233 38.97430951323073, -77.01130130554864 38.97409961458652, -77.01159790294516 38.97390666976415, -77.01178994361248 38.97377347736473, -77.01217649385974 38.973468526207476, -77.01094069927294 38.972506983395604, -77.01073575629381 38.97246285483445, -77.00604165155978 38.96878007087982, -77.00334152635835 38.96667301156734, -77.00339819010198 38.966633821366926, -77.0025458104027 38.96594172511711, -76.99997517288844 38.96933179971338, -76.9985878138362 38.97120641368915, -76.99868184422226 38.97125810855241, -76.998626393428 38.97132474544265, -76.99860058376336 38.971319764482764, -76.99859101476359 38.971332684881325, -76.99859334437541 38.9714043256112, -76.99877145139973 38.97152030325348, -76.99896073286824 38.971643544963044, -76.9991309837 38.97175439989932, -76.9991504323831 38.971796076644154, -76.99921887683489 38.97194274470631, -76.99928465710289 38.97208074408328, -76.99934874354226 38.972221993581066, -76.99941392885482 38.97236071893788, -76.99956683067472 38.972473454955576, -76.99964671319412 38.972523574337195, -76.9997265958259 38.97257369276297, -76.9998791212558 38.97267768317309, -76.99991572364011 38.97270263150907, -77.00005146353564 38.97274496031824, -77.00022518397219 38.97279914013485, -77.00040047989197 38.97285545463878, -77.00066369491711 38.97294133974151, -77.0007771101236 38.97306155121465, -77.00083175358631 38.973289318606504, -77.0011285417217 38.974527856997256, -77.00128854225254 38.97450485552939, -77.00148717562479 38.974742783958945, -77.00186271837798 38.97562447074379, -77.0024555515539 38.975364349893624, -77.0025609949944 38.9754633147382, -77.00272225872136 38.975626603258114, -77.00278404532543 38.97569356717286, -77.00288546022554 38.97580347140661, -77.00300869519191 38.9759176151636, -77.00310912267125 38.976022478219534, -77.00321490765997 38.97612977055884, -77.00332289038744 38.97623929227401, -77.00343398377575 38.97635197027863, -77.00348088225887 38.97639953863771, -77.00354031217664 38.97645981540565, -77.00365100000259 38.97657207252719, -77.00375753333978 38.97668012283312, -77.00386275014336 38.97678683626231, -77.00407566607954 38.977002777840134, -77.00418388805043 38.977112532946585, -77.00423630431033 38.977165693104524, -77.004292547774 38.977222741048145, -77.00439688210672 38.97732855589748, -77.00449780278575 38.97743090982262, -77.00451025140492 38.97744352806522, -77.00459872490876 38.977533263658486, -77.00445038680508 38.97756379917296, -77.00448775381098 38.9776983121633, -77.00449528810863 38.977815799843164, -77.00451079576895 38.978057714211246, -77.00453812373335 38.97811919428363, -77.00405652750526 38.97814576191798, -77.00363928951407 38.978171301349064, -77.00363647240387 38.97817147439458, -77.00362999108839 38.978171870957816, -77.00362411912734 38.97817223056805, -77.00361785824106 38.9781726136114, -77.00361262910268 38.978172933564956, -77.00360839247345 38.97817319313264, -77.00360260706819 38.97817354733419, -77.00359773338643 38.97817384565644, -77.0035894193907 38.97817435397573, -77.00345194646228 38.97818276819198, -77.003171646725 38.97819992508513, -77.0029276588832 38.978214858074274, -77.00306522781453 38.97831585115143, -77.00315275425629 38.97838010628552, -77.00324269752782 38.97844459910338, -77.00328789197124 38.97847700582621, -77.00349339136555 38.97857137452006, -77.0035280812694 38.97855316966122, -77.00357475252059 38.97855007482013, -77.00364513696104 38.97854902589209, -77.00371540852426 38.97855230537654, -77.0037851309764 38.978559902477954, -77.00385387269716 38.978571763162165, -77.00392119975605 38.97858781087555, -77.00398670245647 38.978607952849714, -77.0040499595574 38.97863205848308, -77.00411059597913 38.97865998726414, -77.0041682181718 38.97869155093906, -77.00422247990149 38.978726566657784, -77.0042730349294 38.97876480652955, -77.004296372603 38.978796335355334, -77.00431133837073 38.97882581241203, -77.00432101616724 38.97885660756513, -77.00432523745312 38.978888143395025, -77.00432390524156 38.978919832569815, -77.00431705757477 38.97895108685097, -77.00430482251475 38.97898131799587, -77.0042874262251 38.97900997288967, -77.00426519181504 38.97903649931433, -77.0042385347286 38.979060425221185, -77.00420794312137 38.979081300178606, -77.00417399863545 38.97909870978454, -77.00413732677818 38.97911236214757, -77.00409862692166 38.97912197348163, -77.00405860883453 38.979127397826964, -77.00401800998613 38.97912851084343, -77.00395401381094 38.97912482595916, -77.00388755455549 38.979116764026585, -77.00382217186124 38.97910444473519, -77.00375831930512 38.97908796085698, -77.00369642507358 38.97906742498352, -77.00363690350359 38.979042972228385, -77.00358017816465 38.9790147665318, -77.00352662530827 38.97898301417481, -77.00316802480052 38.97881374552185, -77.00314260253717 38.97884281213923, -77.00311279572901 38.97886922594616, -77.00307906253326 38.97889258786293, -77.00304191535342 38.978912533039896, -77.00299510829348 38.97893073716332, -77.00291839522856 38.97895195977253, -77.00287280901219 38.97896685239381, -77.00279849900654 38.97899582013487, -77.00274249172695 38.979023470398694, -77.00268966523288 38.979054677909396, -77.0026403495851 38.97908923277226, -77.00259492908788 38.979126886356184, -77.00255370610627 38.97916737561886, -77.00251696684941 38.97921041679964, -77.00249330646002 38.97920559970929, -77.0022577307782 38.97947680331757, -77.00211492425343 38.97940360607897, -77.00194718775418 38.97939679156969, -77.00159435198236 38.97930767587117, -77.00141385339768 38.97951849219948, -77.00160361254817 38.97961750361707, -77.00152098405012 38.97971728968803, -77.00141956338918 38.97983976583503, -77.00147700527303 38.97986991293652, -77.00140175405448 38.98000316976928, -77.00132610324363 38.9801371373031, -77.00124768004288 38.98027601699642, -77.0011366893348 38.98047255136253, -77.00111147273921 38.98053370210254, -77.0008455412288 38.98045192680815, -77.00074654133489 38.98039892671983, -77.00070854168257 38.980489927091725, -77.00050136093704 38.98068639292704, -77.00101795507213 38.98083615391845, -77.00086208180679 38.981096262985886, -77.00178723596542 38.98137841963306))"
