OBJECTID,MPLSPARK,SHAPE_Length,SHAPE_Area
1,6,0.242331222153316,0.00281337722114667
2,3,0.213951747911519,0.00203926240324915
3,1,0.284303860043437,0.00372313192140371
4,2,0.257812964270948,0.00308541988568682
5,4,0.258807597712085,0.00226104164716426
6,5,0.309196457757072,0.00305046967897057
